stage,fast,mid1,mid2,mid3,sharpe,expectancy,won,lost
stage1,60,120,,,-0.004291,-0.302787,129,176
stage1,60,240,,,-0.004291,-0.302787,129,176
stage1,60,360,,,-0.004619,-0.322039,129,175
stage1,60,480,,,-0.004707,-0.329568,128,173
stage1,60,600,,,-0.004423,-0.314883,128,171
stage1,60,720,,,-0.004466,-0.318456,127,171
stage1,60,840,,,-0.004021,-0.293581,127,169
stage1,60,960,,,-0.004030,-0.295085,127,168
stage1,60,1080,,,-0.003903,-0.289249,127,166
stage1,60,1200,,,-0.003063,-0.240517,127,163
stage1,60,1320,,,-0.003017,-0.238408,126,163
stage1,60,1440,,,-0.002905,-0.232292,126,162
stage1,60,1560,,,-0.003665,-0.273252,125,161
stage1,60,1680,,,-0.003303,-0.250699,126,160
stage1,60,1800,,,-0.003487,-0.261930,125,160
stage1,60,1920,,,-0.004419,-0.316431,123,160
stage1,120,120,,,-0.000230,-0.095330,63,119
stage1,120,240,,,-0.000230,-0.095330,63,119
stage1,120,360,,,-0.000230,-0.095330,63,119
stage1,120,480,,,-0.000230,-0.095330,63,119
stage1,120,600,,,-0.000051,-0.077624,63,118
stage1,120,720,,,-0.000130,-0.086111,62,118
stage1,120,840,,,0.000171,-0.055899,61,117
stage1,120,960,,,0.000306,-0.042090,61,116
stage1,120,1080,,,0.000589,-0.012857,61,114
stage1,120,1200,,,0.001010,0.031686,61,111
stage1,120,1320,,,0.001242,0.056725,60,111
stage1,120,1440,,,0.001263,0.059118,60,110
stage1,120,1560,,,-0.002196,-0.308876,59,110
stage1,120,1680,,,-0.002364,-0.325740,59,110
stage1,120,1800,,,-0.002748,-0.365385,59,110
stage1,120,1920,,,-0.003576,-0.451488,58,110
stage1,180,120,,,0.014578,2.241379,53,63
stage1,180,240,,,0.014578,2.241379,53,63
stage1,180,360,,,0.014578,2.241379,53,63
stage1,180,480,,,0.014578,2.241379,53,63
stage1,180,600,,,0.014578,2.241379,53,63
stage1,180,720,,,0.014578,2.241379,53,63
stage1,180,840,,,0.014799,2.270690,53,63
stage1,180,960,,,0.014943,2.313043,53,62
stage1,180,1080,,,0.015357,2.419469,53,60
stage1,180,1200,,,0.015654,2.503153,52,59
stage1,180,1320,,,0.015950,2.573182,51,59
stage1,180,1440,,,0.015992,2.599541,51,58
stage1,180,1560,,,0.014093,2.263426,50,58
stage1,180,1680,,,0.013418,2.161682,49,58
stage1,180,1800,,,0.013082,2.099065,49,58
stage1,180,1920,,,0.012215,1.924299,48,59
stage1,240,120,,,0.015198,3.069444,40,50
stage1,240,240,,,0.015198,3.069444,40,50
stage1,240,360,,,0.015198,3.069444,40,50
stage1,240,480,,,0.015198,3.069444,40,50
stage1,240,600,,,0.015198,3.069444,40,50
stage1,240,720,,,0.015198,3.069444,40,50
stage1,240,840,,,0.015198,3.069444,40,50
stage1,240,960,,,0.015198,3.069444,40,50
stage1,240,1080,,,0.015198,3.069444,40,50
stage1,240,1200,,,0.015471,3.155056,41,48
stage1,240,1320,,,0.015498,3.231609,40,47
stage1,240,1440,,,0.017467,3.632558,40,46
stage1,240,1560,,,0.016055,3.291279,40,46
stage1,240,1680,,,0.016031,3.307059,39,46
stage1,240,1800,,,0.016005,3.294706,39,46
stage1,240,1920,,,0.015744,3.207647,39,46
stage1,300,120,,,0.009431,2.385915,32,39
stage1,300,240,,,0.009431,2.385915,32,39
stage1,300,360,,,0.009431,2.385915,32,39
stage1,300,480,,,0.009431,2.385915,32,39
