stage,fast,mid1,mid2,mid3,sharpe,expectancy,won,lost
stage1,80,160,,,-0.006727,-1.056197,98,136
stage1,80,320,,,-0.006727,-1.056197,98,136
stage1,80,480,,,-0.006929,-1.087339,97,136
stage1,80,640,,,-0.006824,-1.079437,97,134
stage1,80,800,,,-0.006095,-0.966667,96,132
stage1,80,960,,,-0.005696,-0.911504,95,131
stage1,80,1120,,,-0.004817,-0.766444,95,130
stage1,80,1280,,,-0.005127,-0.817634,94,130
stage1,80,1440,,,-0.005248,-0.843468,93,129
stage1,80,1600,,,0.000722,0.077273,93,127
stage1,80,1760,,,0.000819,0.090826,93,125
stage1,80,1920,,,-0.000516,-0.086636,92,125
stage1,160,160,,,0.002646,0.425887,60,81
stage1,160,320,,,0.002646,0.425887,60,81
stage1,160,480,,,0.002646,0.425887,60,81
stage1,160,640,,,0.002646,0.425887,60,81
stage1,160,800,,,0.000814,0.028214,59,81
stage1,160,960,,,0.000649,-0.007143,59,81
stage1,160,1120,,,0.001316,0.131655,59,80
stage1,160,1280,,,0.001111,0.088768,58,80
stage1,160,1440,,,0.001451,0.161679,58,79
stage1,160,1600,,,0.003666,0.629044,58,78
stage1,160,1760,,,0.003714,0.637500,58,78
stage1,160,1920,,,0.001456,0.151103,58,78
stage1,240,160,,,-0.006121,-2.285784,36,66
stage1,240,320,,,-0.006121,-2.285784,36,66
stage1,240,480,,,-0.006121,-2.285784,36,66
stage1,240,640,,,-0.006121,-2.285784,36,66
stage1,240,800,,,-0.006121,-2.285784,36,66
stage1,240,960,,,-0.006121,-2.285784,36,66
stage1,240,1120,,,-0.005316,-2.002970,36,65
stage1,240,1280,,,-0.005425,-2.058500,35,65
stage1,240,1440,,,-0.002385,-0.891414,35,64
stage1,240,1600,,,-0.000932,-0.461735,35,63
stage1,240,1760,,,-0.001273,-0.562245,35,63
stage1,240,1920,,,-0.002654,-0.951531,35,63
stage1,320,160,,,-0.012848,-5.733125,22,58
stage1,320,320,,,-0.012848,-5.733125,22,58
stage1,320,480,,,-0.012848,-5.733125,22,58
stage1,320,640,,,-0.012848,-5.733125,22,58
stage1,320,800,,,-0.012848,-5.733125,22,58
stage1,320,960,,,-0.012848,-5.733125,22,58
stage1,320,1120,,,-0.012848,-5.733125,22,58
stage1,320,1280,,,-0.012848,-5.733125,22,58
stage1,320,1440,,,-0.012679,-5.653750,22,58
stage1,320,1600,,,-0.010351,-4.010759,23,56
