stage,fast,mid1,mid2,mid3,sharpe,expectancy,won,lost
stage1,80,160,,,0.002595,0.229079,99,140
stage1,80,320,,,0.002595,0.229079,99,140
stage1,80,480,,,0.003472,0.318644,99,137
stage1,80,640,,,0.003698,0.343803,99,135
stage1,80,800,,,0.003618,0.338147,97,135
stage1,80,960,,,0.003594,0.337013,96,135
stage1,80,1120,,,0.003219,0.303744,96,131
stage1,80,1280,,,0.002418,0.221460,95,131
stage1,80,1440,,,0.002160,0.194690,95,131
stage1,80,1600,,,0.006546,0.550223,95,129
stage1,80,1760,,,0.006796,0.572646,95,128
stage1,80,1920,,,0.006480,0.541216,94,128
stage1,160,160,,,-0.003539,-0.671786,56,84
stage1,160,320,,,-0.003539,-0.671786,56,84
stage1,160,480,,,-0.003539,-0.671786,56,84
stage1,160,640,,,-0.003539,-0.671786,56,84
stage1,160,800,,,-0.003614,-0.687050,55,84
stage1,160,960,,,-0.003196,-0.615942,55,83
stage1,160,1120,,,-0.003766,-0.720438,55,82
stage1,160,1280,,,-0.004737,-0.895956,54,82
stage1,160,1440,,,-0.004990,-0.940441,54,82
stage1,160,1600,,,-0.003125,-0.538060,54,80
stage1,160,1760,,,-0.003247,-0.554104,54,80
stage1,160,1920,,,-0.003967,-0.662782,53,80
stage1,240,160,,,0.001588,0.348990,38,61
stage1,240,320,,,0.001588,0.348990,38,61
stage1,240,480,,,0.001588,0.348990,38,61
stage1,240,640,,,0.001588,0.348990,38,61
stage1,240,800,,,0.001588,0.348990,38,61
stage1,240,960,,,0.001588,0.348990,38,61
stage1,240,1120,,,0.002511,0.579592,38,60
stage1,240,1280,,,0.001704,0.381959,37,60
stage1,240,1440,,,0.001601,0.356186,37,60
stage1,240,1600,,,0.004745,0.988542,38,58
stage1,240,1760,,,0.003807,0.790000,37,58
stage1,240,1920,,,0.003596,0.735789,37,58
stage1,320,160,,,-0.002441,-0.786184,24,52
stage1,320,320,,,-0.002441,-0.786184,24,52
stage1,320,480,,,-0.002441,-0.786184,24,52
stage1,320,640,,,-0.002441,-0.786184,24,52
stage1,320,800,,,-0.002441,-0.786184,24,52
stage1,320,960,,,-0.002441,-0.786184,24,52
stage1,320,1120,,,-0.002441,-0.786184,24,52
stage1,320,1280,,,-0.002441,-0.786184,24,52
stage1,320,1440,,,-0.002520,-0.821333,24,51
stage1,320,1600,,,0.000297,0.057432,25,49
stage1,320,1760,,,-0.000484,-0.156849,24,49
stage1,320,1920,,,-0.000749,-0.227397,24,49
stage1,400,160,,,-0.001000,-0.392727,19,36
stage1,400,320,,,-0.001000,-0.392727,19,36
stage1,400,480,,,-0.001000,-0.392727,19,36
stage1,400,640,,,-0.001000,-0.392727,19,36
stage1,400,800,,,-0.001000,-0.392727,19,36
stage1,400,960,,,-0.001000,-0.392727,19,36
stage1,400,1120,,,-0.001000,-0.392727,19,36
stage1,400,1280,,,-0.001000,-0.392727,19,36
stage1,400,1440,,,-0.001000,-0.392727,19,36
stage1,400,1600,,,-0.001000,-0.392727,19,36
stage1,400,1760,,,-0.001203,-0.475926,18,36
stage1,400,1920,,,-0.001470,-0.571296,18,36
stage1,480,160,,,0.001771,1.074444,16,29
stage1,480,320,,,0.001771,1.074444,16,29
stage1,480,480,,,0.001771,1.074444,16,29
stage1,480,640,,,0.001771,1.074444,16,29
stage1,480,800,,,0.001771,1.074444,16,29
stage1,480,960,,,0.001771,1.074444,16,29
stage1,480,1120,,,0.001771,1.074444,16,29
stage1,480,1280,,,0.001771,1.074444,16,29
stage1,480,1440,,,0.001771,1.074444,16,29
stage1,480,1600,,,0.001771,1.074444,16,29
stage1,480,1760,,,0.001771,1.074444,16,29
stage1,480,1920,,,0.001771,1.074444,16,29
stage1,560,160,,,-0.003647,-1.798684,11,27
stage1,560,320,,,-0.003647,-1.798684,11,27
stage1,560,480,,,-0.003647,-1.798684,11,27
stage1,560,640,,,-0.003647,-1.798684,11,27
stage1,560,800,,,-0.003647,-1.798684,11,27
stage1,560,960,,,-0.003647,-1.798684,11,27
stage1,560,1120,,,-0.003647,-1.798684,11,27
stage1,560,1280,,,-0.003647,-1.798684,11,27
stage1,560,1440,,,-0.003647,-1.798684,11,27
stage1,560,1600,,,-0.003647,-1.798684,11,27
stage1,560,1760,,,-0.003647,-1.798684,11,27
stage1,560,1920,,,-0.003647,-1.798684,11,27
stage1,640,160,,,-0.007291,-4.133824,9,25
stage1,640,320,,,-0.007291,-4.133824,9,25
stage1,640,480,,,-0.007291,-4.133824,9,25
stage1,640,640,,,-0.007291,-4.133824,9,25
stage1,640,800,,,-0.007291,-4.133824,9,25
stage1,640,960,,,-0.007291,-4.133824,9,25
stage1,640,1120,,,-0.007291,-4.133824,9,25
stage1,640,1280,,,-0.007291,-4.133824,9,25
stage1,640,1440,,,-0.007291,-4.133824,9,25
stage1,640,1600,,,-0.007291,-4.133824,9,25
stage1,640,1760,,,-0.007291,-4.133824,9,25
