"id","symbol","frequency","candle_time","open","high","low","close","volume","oi","active"
269752,AXISBANK,1,"2025-07-01 09:15:00",1202.00,1202.00,1192.40,1192.40,183157.00,0.00,1
269753,AXISBANK,1,"2025-07-01 09:16:00",1193.20,1194.50,1189.20,1190.30,147662.00,0.00,1
269754,AXISBANK,1,"2025-07-01 09:17:00",1190.10,1190.40,1188.00,1189.00,130198.00,0.00,1
269755,AXISBANK,1,"2025-07-01 09:18:00",1189.00,1189.60,1187.00,1188.20,82344.00,0.00,1
269756,AXISBANK,1,"2025-07-01 09:19:00",1188.10,1189.90,1187.60,1189.40,32917.00,0.00,1
269757,AXISBANK,1,"2025-07-01 09:20:00",1189.50,1190.60,1189.40,1189.90,37245.00,0.00,1
269758,AXISBANK,1,"2025-07-01 09:21:00",1189.90,1191.00,1189.90,1190.60,26107.00,0.00,1
269759,AXISBANK,1,"2025-07-01 09:22:00",1190.60,1191.40,1190.20,1190.70,20191.00,0.00,1
269760,AXISBANK,1,"2025-07-01 09:23:00",1191.00,1191.40,1190.50,1190.80,20104.00,0.00,1
269761,AXISBANK,1,"2025-07-01 09:24:00",1190.80,1192.00,1190.60,1191.80,23142.00,0.00,1
269762,AXISBANK,1,"2025-07-01 09:25:00",1191.90,1191.90,1190.80,1190.90,24330.00,0.00,1
269763,AXISBANK,1,"2025-07-01 09:26:00",1190.70,1190.70,1188.50,1189.00,42797.00,0.00,1
269764,AXISBANK,1,"2025-07-01 09:27:00",1189.00,1189.20,1187.70,1188.60,50800.00,0.00,1
269765,AXISBANK,1,"2025-07-01 09:28:00",1188.80,1188.80,1188.00,1188.40,12849.00,0.00,1
269766,AXISBANK,1,"2025-07-01 09:29:00",1188.40,1188.80,1188.30,1188.80,18861.00,0.00,1
269767,AXISBANK,1,"2025-07-01 09:30:00",1188.80,1189.90,1188.80,1189.90,16150.00,0.00,1
269768,AXISBANK,1,"2025-07-01 09:31:00",1189.90,1189.90,1188.00,1188.40,46058.00,0.00,1
269769,AXISBANK,1,"2025-07-01 09:32:00",1188.40,1188.60,1187.50,1188.60,27903.00,0.00,1
269770,AXISBANK,1,"2025-07-01 09:33:00",1188.60,1188.90,1187.90,1188.10,10524.00,0.00,1
269771,AXISBANK,1,"2025-07-01 09:34:00",1188.10,1188.40,1188.00,1188.10,29465.00,0.00,1
269772,AXISBANK,1,"2025-07-01 09:35:00",1188.10,1188.10,1186.50,1186.90,40649.00,0.00,1
269773,AXISBANK,1,"2025-07-01 09:36:00",1187.00,1187.90,1186.20,1187.20,21388.00,0.00,1
269774,AXISBANK,1,"2025-07-01 09:37:00",1187.20,1187.40,1185.20,1186.00,23393.00,0.00,1
269775,AXISBANK,1,"2025-07-01 09:38:00",1185.50,1186.00,1185.30,1185.80,23917.00,0.00,1
269776,AXISBANK,1,"2025-07-01 09:39:00",1185.80,1186.40,1185.60,1186.20,11436.00,0.00,1
269777,AXISBANK,1,"2025-07-01 09:40:00",1186.40,1186.60,1186.00,1186.40,17847.00,0.00,1
269778,AXISBANK,1,"2025-07-01 09:41:00",1186.40,1186.40,1185.80,1186.30,18860.00,0.00,1
269779,AXISBANK,1,"2025-07-01 09:42:00",1186.30,1186.30,1184.10,1184.40,51758.00,0.00,1
269780,AXISBANK,1,"2025-07-01 09:43:00",1184.00,1185.10,1184.00,1185.10,50339.00,0.00,1
269781,AXISBANK,1,"2025-07-01 09:44:00",1184.90,1185.70,1184.70,1185.00,9900.00,0.00,1
269782,AXISBANK,1,"2025-07-01 09:45:00",1185.10,1185.10,1184.00,1184.00,15159.00,0.00,1
269783,AXISBANK,1,"2025-07-01 09:46:00",1184.00,1184.50,1183.00,1183.30,32018.00,0.00,1
269784,AXISBANK,1,"2025-07-01 09:47:00",1183.00,1183.50,1182.50,1183.50,16452.00,0.00,1
269785,AXISBANK,1,"2025-07-01 09:48:00",1183.50,1184.00,1180.30,1182.50,154131.00,0.00,1
269786,AXISBANK,1,"2025-07-01 09:49:00",1182.40,1182.90,1180.00,1180.70,161589.00,0.00,1
269787,AXISBANK,1,"2025-07-01 09:50:00",1180.70,1181.00,1180.40,1181.00,18948.00,0.00,1
269788,AXISBANK,1,"2025-07-01 09:51:00",1181.00,1182.20,1180.80,1182.20,20697.00,0.00,1
269789,AXISBANK,1,"2025-07-01 09:52:00",1181.80,1182.80,1181.50,1181.90,34638.00,0.00,1
269790,AXISBANK,1,"2025-07-01 09:53:00",1181.90,1182.40,1181.50,1181.80,15780.00,0.00,1
269791,AXISBANK,1,"2025-07-01 09:54:00",1181.80,1181.80,1180.10,1180.10,58436.00,0.00,1
269792,AXISBANK,1,"2025-07-01 09:55:00",1180.20,1180.40,1179.10,1179.40,59663.00,0.00,1
269793,AXISBANK,1,"2025-07-01 09:56:00",1179.40,1180.30,1179.10,1180.00,17148.00,0.00,1
269794,AXISBANK,1,"2025-07-01 09:57:00",1180.00,1180.60,1179.40,1179.90,15195.00,0.00,1
269795,AXISBANK,1,"2025-07-01 09:58:00",1179.90,1181.00,1179.60,1181.00,12910.00,0.00,1
269796,AXISBANK,1,"2025-07-01 09:59:00",1181.00,1181.00,1180.00,1180.50,25929.00,0.00,1
269797,AXISBANK,1,"2025-07-01 10:00:00",1180.50,1180.60,1179.50,1179.60,28484.00,0.00,1
269798,AXISBANK,1,"2025-07-01 10:01:00",1179.90,1179.90,1178.00,1178.60,42162.00,0.00,1
269799,AXISBANK,1,"2025-07-01 10:02:00",1178.60,1179.30,1178.60,1179.10,9909.00,0.00,1
269800,AXISBANK,1,"2025-07-01 10:03:00",1179.00,1179.60,1178.60,1179.00,13124.00,0.00,1
269801,AXISBANK,1,"2025-07-01 10:04:00",1179.10,1179.10,1177.30,1177.90,31208.00,0.00,1
269802,AXISBANK,1,"2025-07-01 10:05:00",1177.90,1177.90,1177.00,1177.00,37110.00,0.00,1
269803,AXISBANK,1,"2025-07-01 10:06:00",1177.30,1177.60,1176.80,1177.30,9975.00,0.00,1
269804,AXISBANK,1,"2025-07-01 10:07:00",1177.60,1177.60,1176.00,1177.00,21607.00,0.00,1
269805,AXISBANK,1,"2025-07-01 10:08:00",1177.00,1177.10,1176.30,1176.70,12112.00,0.00,1
269806,AXISBANK,1,"2025-07-01 10:09:00",1176.70,1177.10,1176.20,1176.60,23858.00,0.00,1
269807,AXISBANK,1,"2025-07-01 10:10:00",1176.30,1176.70,1176.00,1176.50,12243.00,0.00,1
269808,AXISBANK,1,"2025-07-01 10:11:00",1176.60,1176.60,1173.80,1174.60,97279.00,0.00,1
269809,AXISBANK,1,"2025-07-01 10:12:00",1174.60,1174.80,1173.40,1173.80,18390.00,0.00,1
269810,AXISBANK,1,"2025-07-01 10:13:00",1173.80,1174.60,1173.50,1174.20,26374.00,0.00,1
269811,AXISBANK,1,"2025-07-01 10:14:00",1174.50,1174.70,1174.00,1174.60,6764.00,0.00,1
269812,AXISBANK,1,"2025-07-01 10:15:00",1174.60,1174.60,1173.50,1173.50,32826.00,0.00,1
269813,AXISBANK,1,"2025-07-01 10:16:00",1173.70,1174.70,1173.00,1174.00,33904.00,0.00,1
269814,AXISBANK,1,"2025-07-01 10:17:00",1174.50,1175.00,1173.80,1174.90,14711.00,0.00,1
269815,AXISBANK,1,"2025-07-01 10:18:00",1175.00,1175.40,1174.60,1175.00,16884.00,0.00,1
269816,AXISBANK,1,"2025-07-01 10:19:00",1175.10,1176.00,1174.90,1175.90,12422.00,0.00,1
