"id","symbol","frequency","candle_time","open","high","low","close","volume","oi","active"
73627,ICICIBANK,1,"2025-07-01 09:15:00",1445.70,1447.60,1441.20,1441.90,101716.00,0.00,1
73628,ICICIBANK,1,"2025-07-01 09:16:00",1442.60,1444.30,1440.10,1440.40,76279.00,0.00,1
73629,ICICIBANK,1,"2025-07-01 09:17:00",1439.60,1441.80,1439.30,1441.30,39679.00,0.00,1
73630,ICICIBANK,1,"2025-07-01 09:18:00",1440.40,1442.30,1440.40,1442.10,27986.00,0.00,1
73631,ICICIBANK,1,"2025-07-01 09:19:00",1442.20,1443.10,1442.10,1442.70,13486.00,0.00,1
73632,ICICIBANK,1,"2025-07-01 09:20:00",1443.10,1444.20,1442.80,1443.00,17585.00,0.00,1
73633,ICICIBANK,1,"2025-07-01 09:21:00",1443.10,1444.10,1443.10,1443.50,20849.00,0.00,1
73634,ICICIBANK,1,"2025-07-01 09:22:00",1443.50,1443.50,1443.10,1443.20,13106.00,0.00,1
73635,ICICIBANK,1,"2025-07-01 09:23:00",1443.20,1443.20,1441.60,1441.60,25553.00,0.00,1
73636,ICICIBANK,1,"2025-07-01 09:24:00",1441.50,1442.10,1441.00,1442.10,30565.00,0.00,1
73637,ICICIBANK,1,"2025-07-01 09:25:00",1442.10,1443.30,1442.10,1443.30,12203.00,0.00,1
73638,ICICIBANK,1,"2025-07-01 09:26:00",1443.10,1443.10,1442.70,1443.00,9491.00,0.00,1
73639,ICICIBANK,1,"2025-07-01 09:27:00",1443.00,1443.10,1442.10,1442.40,9633.00,0.00,1
73640,ICICIBANK,1,"2025-07-01 09:28:00",1442.40,1442.40,1441.00,1441.10,7986.00,0.00,1
73641,ICICIBANK,1,"2025-07-01 09:29:00",1440.60,1441.00,1440.30,1440.50,9328.00,0.00,1
73642,ICICIBANK,1,"2025-07-01 09:30:00",1440.50,1440.70,1440.30,1440.40,17733.00,0.00,1
73643,ICICIBANK,1,"2025-07-01 09:31:00",1440.40,1440.40,1439.40,1439.90,20647.00,0.00,1
73644,ICICIBANK,1,"2025-07-01 09:32:00",1439.90,1439.90,1439.40,1439.50,6266.00,0.00,1
73645,ICICIBANK,1,"2025-07-01 09:33:00",1439.70,1439.70,1439.10,1439.30,7092.00,0.00,1
73646,ICICIBANK,1,"2025-07-01 09:34:00",1439.20,1439.40,1439.00,1439.20,7070.00,0.00,1
73647,ICICIBANK,1,"2025-07-01 09:35:00",1439.10,1439.60,1438.20,1439.40,28965.00,0.00,1
73648,ICICIBANK,1,"2025-07-01 09:36:00",1439.60,1440.10,1439.50,1440.00,6220.00,0.00,1
73649,ICICIBANK,1,"2025-07-01 09:37:00",1439.90,1440.70,1439.70,1440.10,8253.00,0.00,1
73650,ICICIBANK,1,"2025-07-01 09:38:00",1440.20,1440.50,1440.10,1440.30,3823.00,0.00,1
73651,ICICIBANK,1,"2025-07-01 09:39:00",1440.40,1441.40,1440.40,1441.30,12957.00,0.00,1
73652,ICICIBANK,1,"2025-07-01 09:40:00",1441.30,1441.50,1441.20,1441.20,10453.00,0.00,1
73653,ICICIBANK,1,"2025-07-01 09:41:00",1441.20,1441.20,1441.00,1441.20,9407.00,0.00,1
73654,ICICIBANK,1,"2025-07-01 09:42:00",1441.10,1441.30,1441.00,1441.10,5777.00,0.00,1
73655,ICICIBANK,1,"2025-07-01 09:43:00",1441.20,1441.40,1441.00,1441.00,8671.00,0.00,1
73656,ICICIBANK,1,"2025-07-01 09:44:00",1441.10,1442.20,1441.10,1441.90,10711.00,0.00,1
73657,ICICIBANK,1,"2025-07-01 09:45:00",1441.90,1442.10,1441.60,1442.00,16942.00,0.00,1
73658,ICICIBANK,1,"2025-07-01 09:46:00",1442.00,1443.40,1442.00,1443.10,31178.00,0.00,1
73659,ICICIBANK,1,"2025-07-01 09:47:00",1443.10,1443.20,1443.00,1443.10,9196.00,0.00,1
73660,ICICIBANK,1,"2025-07-01 09:48:00",1443.20,1443.20,1443.00,1443.10,8514.00,0.00,1
73661,ICICIBANK,1,"2025-07-01 09:49:00",1443.10,1443.40,1443.00,1443.10,8585.00,0.00,1
73662,ICICIBANK,1,"2025-07-01 09:50:00",1443.10,1443.20,1443.00,1443.00,8612.00,0.00,1
73663,ICICIBANK,1,"2025-07-01 09:51:00",1443.10,1443.80,1442.90,1443.00,28489.00,0.00,1
73664,ICICIBANK,1,"2025-07-01 09:52:00",1443.00,1443.30,1443.00,1443.30,25412.00,0.00,1
73665,ICICIBANK,1,"2025-07-01 09:53:00",1443.40,1443.40,1443.10,1443.20,7826.00,0.00,1
73666,ICICIBANK,1,"2025-07-01 09:54:00",1443.20,1443.20,1443.00,1443.00,9436.00,0.00,1
73667,ICICIBANK,1,"2025-07-01 09:55:00",1443.10,1443.10,1443.00,1443.10,10543.00,0.00,1
73668,ICICIBANK,1,"2025-07-01 09:56:00",1443.10,1443.10,1443.00,1443.10,2806.00,0.00,1
73669,ICICIBANK,1,"2025-07-01 09:57:00",1443.00,1443.10,1443.00,1443.10,8361.00,0.00,1
73670,ICICIBANK,1,"2025-07-01 09:58:00",1443.00,1443.20,1443.00,1443.20,22304.00,0.00,1
73671,ICICIBANK,1,"2025-07-01 09:59:00",1443.00,1443.10,1443.00,1443.00,8111.00,0.00,1
73672,ICICIBANK,1,"2025-07-01 10:00:00",1443.10,1443.10,1443.00,1443.00,5306.00,0.00,1
73673,ICICIBANK,1,"2025-07-01 10:01:00",1443.00,1443.10,1443.00,1443.00,2371.00,0.00,1
73674,ICICIBANK,1,"2025-07-01 10:02:00",1443.10,1443.10,1443.00,1443.00,3862.00,0.00,1
73675,ICICIBANK,1,"2025-07-01 10:03:00",1443.00,1443.80,1442.90,1443.80,25307.00,0.00,1
73676,ICICIBANK,1,"2025-07-01 10:04:00",1444.00,1444.50,1444.00,1444.20,16719.00,0.00,1
73677,ICICIBANK,1,"2025-07-01 10:05:00",1444.20,1444.20,1443.00,1443.50,16826.00,0.00,1
73678,ICICIBANK,1,"2025-07-01 10:06:00",1443.50,1443.50,1443.00,1443.40,2582.00,0.00,1
73679,ICICIBANK,1,"2025-07-01 10:07:00",1443.40,1444.30,1443.10,1443.90,23819.00,0.00,1
73680,ICICIBANK,1,"2025-07-01 10:08:00",1443.90,1444.40,1443.90,1444.40,4456.00,0.00,1
73681,ICICIBANK,1,"2025-07-01 10:09:00",1444.00,1444.80,1444.00,1444.70,8239.00,0.00,1
