"id","symbol","frequency","candle_time","open","high","low","close","volume","oi","active"
818011,MARUTI,1,"2025-07-16 09:15:00",12536.00,12565.00,12502.00,12532.00,1835.00,0.00,1
818012,MARUTI,1,"2025-07-16 09:16:00",12537.00,12550.00,12535.00,12541.00,1408.00,0.00,1
818013,MARUTI,1,"2025-07-16 09:17:00",12538.00,12538.00,12513.00,12513.00,599.00,0.00,1
818014,MARUTI,1,"2025-07-16 09:18:00",12513.00,12513.00,12490.00,12493.00,2534.00,0.00,1
818015,MARUTI,1,"2025-07-16 09:19:00",12492.00,12495.00,12488.00,12492.00,812.00,0.00,1
818016,MARUTI,1,"2025-07-16 09:20:00",12492.00,12492.00,12473.00,12476.00,1171.00,0.00,1
818017,MARUTI,1,"2025-07-16 09:21:00",12476.00,12480.00,12466.00,12466.00,887.00,0.00,1
818018,MARUTI,1,"2025-07-16 09:22:00",12464.00,12464.00,12457.00,12463.00,737.00,0.00,1
818019,MARUTI,1,"2025-07-16 09:23:00",12463.00,12475.00,12463.00,12474.00,432.00,0.00,1
818020,MARUTI,1,"2025-07-16 09:24:00",12474.00,12474.00,12468.00,12473.00,457.00,0.00,1
818021,MARUTI,1,"2025-07-16 09:25:00",12468.00,12470.00,12464.00,12466.00,458.00,0.00,1
818022,MARUTI,1,"2025-07-16 09:26:00",12466.00,12472.00,12466.00,12470.00,245.00,0.00,1
818023,MARUTI,1,"2025-07-16 09:27:00",12470.00,12471.00,12468.00,12470.00,554.00,0.00,1
818024,MARUTI,1,"2025-07-16 09:28:00",12475.00,12480.00,12470.00,12470.00,306.00,0.00,1
818025,MARUTI,1,"2025-07-16 09:29:00",12472.00,12481.00,12472.00,12481.00,532.00,0.00,1
818026,MARUTI,1,"2025-07-16 09:30:00",12481.00,12481.00,12465.00,12466.00,455.00,0.00,1
818027,MARUTI,1,"2025-07-16 09:31:00",12469.00,12477.00,12469.00,12476.00,571.00,0.00,1
818028,MARUTI,1,"2025-07-16 09:32:00",12469.00,12495.00,12469.00,12491.00,677.00,0.00,1
818029,MARUTI,1,"2025-07-16 09:33:00",12485.00,12489.00,12484.00,12484.00,493.00,0.00,1
818030,MARUTI,1,"2025-07-16 09:34:00",12484.00,12486.00,12480.00,12482.00,464.00,0.00,1
818031,MARUTI,1,"2025-07-16 09:35:00",12480.00,12480.00,12473.00,12475.00,248.00,0.00,1
818032,MARUTI,1,"2025-07-16 09:36:00",12475.00,12480.00,12473.00,12474.00,378.00,0.00,1
818033,MARUTI,1,"2025-07-16 09:37:00",12476.00,12484.00,12475.00,12475.00,266.00,0.00,1
818034,MARUTI,1,"2025-07-16 09:38:00",12475.00,12486.00,12475.00,12483.00,174.00,0.00,1
