symbol,total_bars,opening_bars,status,reason
ABB,375,15,skipped,only 15 opening bars
ADANIENSOL,375,15,skipped,only 15 opening bars
ADANIENT,375,15,skipped,only 15 opening bars
ADANIGREEN,375,15,skipped,only 15 opening bars
ADANIPORTS,375,15,skipped,only 15 opening bars
AMBUJACEM,375,15,skipped,only 15 opening bars
APOLLOHOSP,375,15,skipped,only 15 opening bars
ASIANPAINT,375,15,skipped,only 15 opening bars
AXISBANK,375,15,skipped,only 15 opening bars
BAJAJ-AUTO,375,15,skipped,only 15 opening bars
BAJAJFINSV,375,15,skipped,only 15 opening bars
BAJFINANCE,375,15,skipped,only 15 opening bars
BANKBARODA,375,15,skipped,only 15 opening bars
BEL,375,15,skipped,only 15 opening bars
BHARTIARTL,375,15,skipped,only 15 opening bars
BOSCHLTD,375,15,skipped,only 15 opening bars
BPCL,375,15,skipped,only 15 opening bars
BRITANNIA,375,15,skipped,only 15 opening bars
CANBK,375,15,skipped,only 15 opening bars
CGPOWER,375,15,skipped,only 15 opening bars
CHOLAFIN,375,15,skipped,only 15 opening bars
CIPLA,375,15,skipped,only 15 opening bars
COALINDIA,375,15,skipped,only 15 opening bars
DABUR,375,15,skipped,only 15 opening bars
DIVISLAB,375,15,skipped,only 15 opening bars
DLF,375,15,skipped,only 15 opening bars
DMART,375,15,skipped,only 15 opening bars
DRREDDY,375,15,skipped,only 15 opening bars
EICHERMOT,375,15,skipped,only 15 opening bars
ETERNAL,375,15,skipped,only 15 opening bars
GAIL,375,15,skipped,only 15 opening bars
GODREJCP,375,15,skipped,only 15 opening bars
GRASIM,375,15,skipped,only 15 opening bars
HAL,375,15,skipped,only 15 opening bars
HAVELLS,375,15,skipped,only 15 opening bars
HCLTECH,375,15,skipped,only 15 opening bars
HDFCBANK,375,15,skipped,only 15 opening bars
HDFCLIFE,375,15,skipped,only 15 opening bars
HEROMOTOCO,375,15,skipped,only 15 opening bars
HINDALCO,375,15,skipped,only 15 opening bars
HINDUNILVR,375,15,skipped,only 15 opening bars
ICICIBANK,375,15,skipped,only 15 opening bars
ICICIGI,375,15,skipped,only 15 opening bars
ICICIPRULI,375,15,skipped,only 15 opening bars
INDHOTEL,375,15,skipped,only 15 opening bars
INDIGO,375,15,skipped,only 15 opening bars
INDUSINDBK,375,15,skipped,only 15 opening bars
INFY,375,15,skipped,only 15 opening bars
IOC,375,15,skipped,only 15 opening bars
IRFC,375,15,skipped,only 15 opening bars
ITC,375,15,skipped,only 15 opening bars
JINDALSTEL,375,15,skipped,only 15 opening bars
JIOFIN,375,15,skipped,only 15 opening bars
JSWENERGY,375,15,skipped,only 15 opening bars
JSWSTEEL,375,15,skipped,only 15 opening bars
KOTAKBANK,375,15,skipped,only 15 opening bars
LICI,375,15,skipped,only 15 opening bars
LODHA,375,15,skipped,only 15 opening bars
LT,375,15,skipped,only 15 opening bars
LTIM,375,15,skipped,only 15 opening bars
M&M,375,15,skipped,only 15 opening bars
MARUTI,375,15,skipped,only 15 opening bars
MOTHERSON,375,15,skipped,only 15 opening bars
NAUKRI,375,15,skipped,only 15 opening bars
NESTLEIND,375,15,skipped,only 15 opening bars
NIFTY 50,375,15,skipped,only 15 opening bars
NIFTY BANK,375,15,skipped,only 15 opening bars
NTPC,375,15,skipped,only 15 opening bars
ONGC,375,15,skipped,only 15 opening bars
PFC,375,15,skipped,only 15 opening bars
PIDILITIND,375,15,skipped,only 15 opening bars
PNB,375,15,skipped,only 15 opening bars
POWERGRID,375,15,skipped,only 15 opening bars
RECLTD,375,15,skipped,only 15 opening bars
RELIANCE,375,15,skipped,only 15 opening bars
SBILIFE,375,15,skipped,only 15 opening bars
SBIN,375,15,skipped,only 15 opening bars
SHREECEM,375,15,skipped,only 15 opening bars
SHRIRAMFIN,375,15,skipped,only 15 opening bars
SIEMENS,375,15,skipped,only 15 opening bars
SUNPHARMA,375,15,skipped,only 15 opening bars
TATACONSUM,375,15,skipped,only 15 opening bars
TATAMOTORS,375,15,skipped,only 15 opening bars
TATAPOWER,375,15,skipped,only 15 opening bars
TATASTEEL,375,15,skipped,only 15 opening bars
TCS,375,15,skipped,only 15 opening bars
TECHM,375,15,skipped,only 15 opening bars
TITAN,375,15,skipped,only 15 opening bars
TORNTPHARM,375,15,skipped,only 15 opening bars
TRENT,375,15,skipped,only 15 opening bars
TVSMOTOR,375,15,skipped,only 15 opening bars
ULTRACEMCO,375,15,skipped,only 15 opening bars
UNITDSPR,375,15,skipped,only 15 opening bars
VBL,375,15,skipped,only 15 opening bars
VEDL,375,15,skipped,only 15 opening bars
WIPRO,375,15,skipped,only 15 opening bars
ZYDUSLIFE,375,15,skipped,only 15 opening bars
