period,mult,sharpe,expectancy,trades,win_rate
60,1.2,-0.037276,-0.549611,1087,25.76
60,1.4,-0.032209,-0.559070,921,26.71
60,1.6,-0.026370,-0.539603,781,26.89
60,1.8,-0.020882,-0.498383,664,28.61
60,2.0,-0.015266,-0.425080,568,28.70
60,2.2,-0.014093,-0.450263,497,28.17
60,2.4,-0.011716,-0.425581,438,28.31
60,2.6,-0.012573,-0.504849,398,27.64
60,2.8,-0.012625,-0.561087,361,27.98
60,3.0,-0.009748,-0.520770,322,29.19
60,3.2,-0.011305,-0.648573,298,29.87
60,3.4,-0.011656,-0.716469,280,30.00
60,3.6,-0.010062,-0.676900,257,29.96
60,3.8,-0.009928,-0.716982,240,30.83
60,4.0,-0.013807,-1.084777,229,30.13
60,4.2,-0.011399,-0.996112,206,31.55
60,4.4,-0.011626,-1.064772,194,32.99
60,4.6,-0.009160,-0.967332,176,31.82
60,4.8,-0.006335,-0.750669,158,32.91
60,5.0,-0.006580,-0.834446,148,32.43
60,5.2,-0.005051,-0.698804,139,31.65
60,5.4,-0.005215,-0.759973,127,35.43
60,5.6,-0.004362,-0.686646,120,35.83
60,5.8,-0.003565,-0.620447,111,36.04
60,6.0,-0.004738,-0.834628,106,34.91
60,6.2,-0.004080,-0.760826,100,34.00
60,6.4,-0.003553,-0.714528,93,34.41
60,6.6,-0.004181,-0.851315,90,32.22
60,6.8,-0.003291,-0.720880,85,34.12
60,7.0,0.000488,0.014969,77,35.06
60,7.2,0.000707,0.067120,75,32.00
60,7.4,-0.000327,-0.162499,74,29.73
60,7.6,0.003078,0.610635,70,28.57
60,7.8,-0.000188,-0.134422,70,25.71
60,8.0,0.002895,0.611107,63,28.57
60,8.2,0.003440,0.798459,59,27.12
60,8.4,0.003022,0.697977,58,27.59
60,8.6,0.002866,0.686908,56,26.79
60,8.8,0.002379,0.564560,55,27.27
60,9.0,0.004014,1.131383,52,30.77
60,9.2,0.003439,0.978035,51,29.41
60,9.4,0.007515,2.386891,46,32.61
60,9.6,0.007657,2.485098,45,31.11
60,9.8,0.007881,2.676560,43,32.56
60,10.0,0.006644,2.244675,42,28.57
60,10.2,0.005956,2.001805,42,26.19
60,10.4,0.005130,1.769773,41,26.83
60,10.6,0.005439,2.001999,39,28.21
60,10.8,0.005431,2.043603,38,26.32
60,11.0,0.006321,2.571728,36,30.56
60,11.2,0.006960,3.012810,34,32.35
60,11.4,0.007188,3.192807,33,30.30
60,11.6,0.006699,2.962492,33,30.30
60,11.8,0.003365,1.559640,33,30.30
60,12.0,0.002657,1.212674,33,30.30
60,12.2,0.001218,0.501976,33,30.30
60,12.4,0.000208,0.011106,33,30.30
60,12.6,0.001188,0.520955,31,32.26
60,12.8,0.000129,-0.012880,31,29.03
60,13.0,0.000093,-0.031968,30,30.00
60,13.2,0.000514,0.204520,29,27.59
60,13.4,-0.000977,-0.633671,28,25.00
60,13.6,-0.000411,-0.309447,27,25.93
60,13.8,0.000975,0.537623,25,28.00
60,14.0,0.000336,0.149650,25,28.00
60,14.2,0.001042,0.622063,24,29.17
60,14.4,0.000563,0.309594,24,29.17
60,14.6,0.001645,1.096071,23,26.09
60,14.8,0.001357,0.924334,23,26.09
60,15.0,0.001795,1.274014,22,27.27
60,15.2,0.001334,0.939927,22,27.27
60,15.4,-0.000901,-0.716593,22,27.27
60,15.6,-0.001156,-0.912059,22,27.27
60,15.8,-0.001623,-1.234741,22,27.27
60,16.0,-0.002147,-1.639242,22,27.27
60,16.2,-0.001788,-1.426082,21,28.57
60,16.4,-0.002589,-2.061792,21,23.81
60,16.6,-0.000314,-0.267473,19,26.32
60,16.8,-0.000947,-0.796423,19,26.32
