period,mult,sharpe,expectancy,trades,win_rate
60,1.2,-0.037430,-5.432821,1088,28.03
60,1.4,-0.030482,-5.255759,911,28.32
60,1.6,-0.024167,-4.870270,770,28.05
60,1.8,-0.019238,-4.562398,659,29.29
60,2.0,-0.016237,-4.382209,577,30.16
60,2.2,-0.014395,-4.074323,521,30.52
60,2.4,-0.012646,-4.006009,461,31.24
60,2.6,-0.010149,-3.659502,412,32.28
60,2.8,-0.009635,-3.816111,374,32.62
60,3.0,-0.010588,-4.583320,341,32.26
60,3.2,-0.011384,-5.133316,319,31.66
60,3.4,-0.008665,-4.259882,290,31.38
60,3.6,-0.004119,-2.229591,261,34.10
60,3.8,-0.004646,-2.695270,244,35.66
60,4.0,-0.005143,-3.172861,228,34.21
60,4.2,-0.008185,-5.396072,215,31.16
60,4.4,-0.008681,-6.002688,203,31.03
60,4.6,-0.006954,-5.151458,188,31.38
60,4.8,-0.004373,-3.701842,175,30.29
60,5.0,-0.002710,-2.506877,161,30.43
60,5.2,-0.001499,-1.518104,148,32.43
60,5.4,-0.002040,-2.157147,141,31.91
60,5.6,-0.003198,-3.487319,136,30.15
60,5.8,-0.003630,-4.189520,128,31.25
60,6.0,-0.003722,-4.521900,122,31.97
60,6.2,-0.004676,-5.851081,119,31.09
60,6.4,-0.003193,-4.249281,110,32.73
60,6.6,-0.003531,-4.857984,107,31.78
60,6.8,-0.003553,-5.272944,101,31.68
60,7.0,-0.001725,-2.766483,94,31.91
60,7.2,-0.003809,-6.696952,91,32.97
60,7.4,-0.004184,-7.623357,88,34.09
60,7.6,-0.006259,-11.323051,86,32.56
60,7.8,-0.005724,-10.503097,84,33.33
60,8.0,-0.005475,-10.433388,81,32.10
60,8.2,-0.001779,-3.957980,70,27.14
60,8.4,-0.000546,-1.340845,66,27.27
60,8.6,-0.001722,-4.181778,66,25.76
60,8.8,-0.002431,-5.950577,63,26.98
60,9.0,-0.002595,-6.549136,61,27.87
60,9.2,-0.002265,-5.925998,59,25.42
60,9.4,-0.001969,-5.324135,57,26.32
60,9.6,-0.001829,-5.113489,55,27.27
60,9.8,-0.001984,-5.755875,53,28.30
60,10.0,-0.002120,-6.261490,52,28.85
60,10.2,-0.003274,-9.626009,52,26.92
60,10.4,-0.003202,-9.794122,50,28.00
60,10.6,-0.002303,-7.495496,48,29.17
60,10.8,-0.002563,-8.406654,47,27.66
60,11.0,-0.001251,-4.323386,45,28.89
60,11.2,-0.000525,-1.884917,43,30.23
60,11.4,0.000797,3.015360,40,35.00
60,11.6,0.001684,6.683629,38,39.47
60,11.8,0.003992,15.163691,37,37.84
60,12.0,0.004399,17.773067,35,40.00
60,12.2,0.004309,17.862957,34,38.24
60,12.4,0.003410,14.070211,34,38.24
60,12.6,0.003792,16.158812,33,36.36
60,12.8,0.005154,23.093305,31,41.94
60,13.0,0.005401,25.251229,30,43.33
60,13.2,0.005619,27.369211,29,44.83
60,13.4,0.005100,24.988157,29,44.83
60,13.6,0.004451,21.960444,29,44.83
60,13.8,0.003662,18.102210,29,44.83
60,14.0,0.003169,15.619355,29,44.83
60,14.2,0.002241,11.066429,29,44.83
60,14.4,0.000623,2.994374,29,44.83
60,14.6,0.002345,11.882016,27,48.15
60,14.8,0.001371,6.956587,27,44.44
60,15.0,0.000591,2.967419,27,44.44
60,15.2,0.001511,7.987765,26,42.31
60,15.4,0.002625,14.586589,25,44.00
60,15.6,0.004693,27.417527,23,43.48
60,15.8,0.005646,36.103257,21,38.10
60,16.0,0.005174,33.231768,21,38.10
60,16.2,0.004841,30.993663,21,38.10
60,16.4,0.006248,41.077667,20,45.00
60,16.6,0.006893,47.708091,19,47.37
60,16.8,0.007373,53.931302,18,50.00
