period,mult,sharpe,expectancy,trades,win_rate
60,1.2,-0.039677,-8.153699,1161,24.81
60,1.4,-0.032754,-7.963582,984,24.90
60,1.6,-0.028037,-7.989940,841,25.09
60,1.8,-0.021113,-5.681759,723,26.28
60,2.0,-0.019498,-5.993533,636,26.89
60,2.2,-0.016526,-5.649456,570,27.89
60,2.4,-0.014092,-6.676855,505,27.52
60,2.6,-0.011527,-6.287744,450,28.44
60,2.8,-0.011030,-6.644647,410,28.78
60,3.0,-0.007709,-5.265427,367,30.79
60,3.2,-0.007574,-5.713224,338,29.29
60,3.4,-0.006949,-5.744191,311,28.94
60,3.6,-0.006673,-6.005086,284,28.17
60,3.8,-0.005802,-5.692932,262,29.39
60,4.0,-0.005631,-5.925932,245,29.80
60,4.2,-0.004044,-4.705980,227,29.96
60,4.4,-0.004361,-5.300620,215,29.30
60,4.6,-0.006320,-8.081836,202,27.72
60,4.8,-0.005576,-7.680777,189,29.10
60,5.0,-0.007131,-9.886737,185,27.57
60,5.2,-0.006484,-9.717061,171,28.65
60,5.4,-0.006267,-10.185095,155,30.97
60,5.6,-0.005491,-9.599305,145,31.03
60,5.8,-0.004927,-9.182464,137,32.12
60,6.0,-0.005601,-10.705526,132,31.06
60,6.2,-0.005034,-10.211370,126,33.33
60,6.4,-0.005887,-12.127039,123,31.71
60,6.6,-0.004662,-10.571418,114,32.46
60,6.8,-0.004789,-11.249503,110,32.73
60,7.0,-0.000667,-1.978805,105,33.33
60,7.2,-0.001058,-2.822268,100,33.00
60,7.4,0.004090,7.732721,90,34.44
60,7.6,0.000984,1.161260,88,34.09
60,7.8,0.000087,-0.622517,86,34.88
60,8.0,-0.000573,-2.008403,84,34.52
60,8.2,-0.000863,-2.660414,82,32.93
60,8.4,-0.000167,-1.004731,77,32.47
60,8.6,-0.002501,-6.091984,75,32.00
60,8.8,-0.000144,-1.020882,70,34.29
60,9.0,0.000977,1.687967,67,35.82
60,9.2,0.000031,-0.637344,67,34.33
60,9.4,0.001183,2.335630,63,34.92
60,9.6,0.001580,3.526120,61,36.07
60,9.8,0.003512,9.356188,57,40.35
60,10.0,0.002554,6.684874,56,37.50
60,10.2,0.001111,2.411340,56,33.93
60,10.4,0.004242,11.931324,54,33.33
60,10.6,0.004629,13.542933,52,32.69
60,10.8,0.003738,10.708103,52,32.69
60,11.0,0.004327,14.317319,49,34.69
60,11.2,0.003694,12.206139,49,32.65
60,11.4,0.003241,10.871570,48,33.33
60,11.6,0.002775,9.562374,47,34.04
60,11.8,0.002311,7.893379,47,34.04
60,12.0,0.003339,11.918536,45,35.56
60,12.2,0.002906,10.517152,44,34.09
60,12.4,0.004527,17.376514,42,33.33
60,12.6,0.005911,24.798625,40,35.00
60,12.8,0.007522,33.224931,38,36.84
60,13.0,0.008976,43.185493,35,40.00
60,13.2,0.008182,39.234007,35,40.00
60,13.4,0.007876,37.797024,35,40.00
60,13.6,0.007311,34.738293,35,40.00
60,13.8,0.006937,32.968267,35,40.00
60,14.0,0.006028,28.571221,35,40.00
60,14.2,0.006264,30.661302,34,41.18
60,14.4,0.005552,27.256929,34,41.18
60,14.6,0.006472,33.995484,32,43.75
60,14.8,0.005932,31.129972,32,43.75
60,15.0,0.006090,32.908296,31,45.16
60,15.2,0.005584,30.166766,31,45.16
60,15.4,0.005030,27.194399,31,45.16
60,15.6,0.004689,25.479871,31,45.16
60,15.8,0.004226,23.047501,31,45.16
60,16.0,0.004282,23.869141,30,46.67
60,16.2,0.003912,21.710474,30,46.67
60,16.4,0.004430,25.476753,29,48.28
60,16.6,0.003638,21.052727,29,48.28
60,16.8,0.004186,25.505315,28,50.00
