period,mult,sharpe,expectancy,trades,win_rate
60,1.2,-0.053869,-21.197596,1163,23.90
60,1.4,-0.043067,-20.405363,977,24.26
60,1.6,-0.040489,-21.963693,849,23.67
60,1.8,-0.033073,-21.170849,718,24.93
60,2.0,-0.027347,-20.403775,617,24.64
60,2.2,-0.024390,-22.965582,539,25.97
60,2.4,-0.017766,-19.836637,467,27.19
60,2.6,-0.014599,-18.439979,415,28.19
60,2.8,-0.011158,-15.824370,373,28.42
60,3.0,-0.009512,-15.567222,332,28.61
60,3.2,-0.009619,-17.076380,304,28.29
60,3.4,-0.009869,-18.691497,274,28.83
60,3.6,-0.007034,-15.397503,245,30.20
60,3.8,-0.005967,-14.178247,229,30.57
60,4.0,-0.007006,-17.146783,218,30.28
60,4.2,-0.005810,-16.123962,200,30.00
60,4.4,-0.005022,-15.284921,187,29.41
60,4.6,-0.002400,-9.113601,166,30.72
60,4.8,-0.003681,-13.486093,161,32.30
60,5.0,-0.003579,-13.921740,152,30.92
60,5.2,-0.003144,-13.129051,144,31.25
60,5.4,-0.002684,-12.402202,134,31.34
60,5.6,-0.002634,-12.735007,126,31.75
60,5.8,-0.003853,-17.983919,122,30.33
60,6.0,-0.002740,-14.380488,114,31.58
60,6.2,-0.000328,-4.166099,105,32.38
60,6.4,-0.000020,-2.773945,99,32.32
60,6.6,-0.002654,-15.579671,95,33.68
60,6.8,-0.004466,-25.619232,92,33.70
60,7.0,-0.004074,-24.710916,88,32.95
60,7.2,-0.002834,-19.045663,84,30.95
60,7.4,-0.001161,-9.152135,80,30.00
60,7.6,0.000619,0.303852,75,30.67
60,7.8,0.000437,-0.470731,73,28.77
60,8.0,0.003033,16.206856,66,30.30
60,8.2,0.002070,10.225035,65,30.77
60,8.4,0.004162,25.371316,61,31.15
60,8.6,0.003833,24.335955,57,29.82
60,8.8,0.006232,45.598725,52,32.69
60,9.0,0.010292,87.406031,47,34.04
60,9.2,0.011928,104.192705,45,35.56
60,9.4,0.011548,100.581002,45,35.56
60,9.6,0.010713,91.555977,45,35.56
60,9.8,0.010062,87.526548,44,36.36
60,10.0,0.009948,88.562257,43,37.21
60,10.2,0.009558,88.189174,42,38.10
60,10.4,0.009016,85.025637,41,36.59
60,10.6,0.007634,71.404164,41,36.59
60,10.8,0.008087,77.870780,40,37.50
60,11.0,0.007799,76.577593,39,38.46
60,11.2,0.007885,79.622424,38,39.47
60,11.4,0.008834,91.864512,37,37.84
60,11.6,0.009389,104.275465,35,40.00
60,11.8,0.009522,110.450751,34,41.18
60,12.0,0.010863,137.287985,32,43.75
60,12.2,0.010211,128.961694,32,43.75
60,12.4,0.010346,134.867508,31,45.16
60,12.6,0.009910,128.966817,31,45.16
60,12.8,0.009269,120.941864,31,45.16
60,13.0,0.009557,128.306500,30,46.67
60,13.2,0.008984,120.363944,30,46.67
60,13.4,0.008230,110.141005,30,43.33
60,13.6,0.007647,104.994458,30,43.33
60,13.8,0.004444,70.593880,29,44.83
60,14.0,0.005348,89.175890,28,46.43
60,14.2,0.005812,101.213771,27,48.15
60,14.4,0.005405,94.044773,27,44.44
60,14.6,0.007322,144.240532,25,44.00
60,14.8,0.006690,133.054511,25,44.00
60,15.0,0.006274,124.368660,25,40.00
60,15.2,0.005666,113.081408,25,40.00
60,15.4,0.005000,99.660174,25,40.00
60,15.6,0.005686,118.875398,24,45.83
60,15.8,0.005366,112.235665,24,45.83
60,16.0,0.004625,96.206713,24,45.83
60,16.2,0.004487,93.296525,24,45.83
60,16.4,0.005106,110.173665,23,47.83
60,16.6,0.004572,98.172018,23,47.83
60,16.8,0.004093,87.679296,23,47.83
