period,mult,sharpe,expectancy,trades,win_rate
60,7.0,0.006536,1.693202,76,46.05
60,7.2,0.005672,1.500278,74,45.95
60,7.4,0.005404,1.459381,72,44.44
60,7.6,0.005849,1.714517,68,45.59
60,7.8,0.005101,1.490277,67,44.78
60,8.0,0.005391,1.678419,63,44.44
60,8.2,0.005847,1.826838,62,45.16
60,8.4,0.005126,1.600530,61,44.26
60,8.6,0.004604,1.462511,60,45.00
60,8.8,0.003454,1.110310,59,42.37
60,9.0,0.002444,0.741600,58,41.38
60,9.2,0.004655,1.603762,54,37.04
60,9.4,0.004134,1.466531,53,35.85
60,9.6,0.005719,2.211347,50,40.00
60,9.8,0.003898,1.453256,50,38.00
60,10.0,0.004358,1.704711,48,39.58
