period,mult,sharpe,expectancy,trades,win_rate
60,1.2,-0.061111,-1.044966,1107,23.58
60,1.4,-0.039848,-0.947772,901,25.97
60,1.6,-0.033031,-0.928840,758,26.12
60,1.8,-0.028956,-0.965057,655,25.50
60,2.0,-0.022784,-0.876417,564,27.30
60,2.2,-0.017374,-0.769548,487,26.08
60,2.4,-0.015141,-0.760586,430,25.35
60,2.6,-0.011850,-0.674782,381,27.03
60,2.8,-0.009759,-0.631488,337,27.30
60,3.0,-0.010470,-0.682937,309,28.80
60,3.2,-0.007182,-0.528851,281,28.83
60,3.4,-0.007760,-0.610059,253,30.04
60,3.6,-0.007446,-0.633073,231,32.03
60,3.8,-0.005230,-0.498956,209,31.10
60,4.0,-0.006923,-0.699323,193,31.09
60,4.2,-0.006149,-0.686144,177,32.20
60,4.4,-0.005020,-0.646058,169,30.77
60,4.6,-0.001510,-0.236383,156,31.41
60,4.8,-0.001996,-0.325274,146,30.82
60,5.0,-0.001829,-0.310208,139,30.94
60,5.2,-0.001207,-0.223472,132,30.30
60,5.4,-0.001460,-0.285388,125,28.00
60,5.6,-0.003109,-0.596641,120,28.33
60,5.8,-0.002987,-0.630263,113,29.20
60,6.0,-0.002942,-0.652730,108,31.48
60,6.2,-0.001939,-0.475310,101,32.67
60,6.4,-0.002586,-0.639479,97,32.99
60,6.6,-0.001789,-0.481580,91,34.07
60,6.8,-0.001927,-0.532494,87,35.63
60,7.0,-0.004816,-1.197946,82,34.15
60,7.2,-0.001359,-0.417616,73,36.99
60,7.4,-0.002731,-0.784554,70,37.14
60,7.6,-0.001420,-0.453463,66,37.88
60,7.8,-0.001541,-0.507446,64,37.50
60,8.0,-0.001846,-0.607856,63,38.10
60,8.2,-0.002104,-0.706965,61,39.34
60,8.4,-0.002441,-0.811519,60,38.33
60,8.6,-0.002487,-0.837528,56,39.29
60,8.8,-0.000905,-0.365652,52,42.31
60,9.0,0.000462,0.123158,50,42.00
60,9.2,0.002001,0.769703,46,45.65
60,9.4,0.001054,0.381700,46,45.65
60,9.6,0.001144,0.431761,44,47.73
60,9.8,0.001463,0.584676,43,48.84
60,10.0,0.003206,1.460709,40,57.50
60,10.2,0.003187,1.497855,39,58.97
60,10.4,0.002770,1.330269,38,60.53
60,10.6,0.002695,1.398362,36,61.11
60,10.8,0.001751,0.899761,36,52.78
60,11.0,0.003277,1.853735,34,52.94
60,11.2,0.002360,1.324309,34,50.00
60,11.4,-0.000061,-0.069575,34,47.06
60,11.6,-0.000596,-0.351895,34,47.06
60,11.8,0.000010,0.014668,33,48.48
60,12.0,-0.001405,-0.867192,33,42.42
60,12.2,-0.001639,-1.009618,33,42.42
60,12.4,-0.000143,-0.087765,31,45.16
60,12.6,-0.000525,-0.345816,31,45.16
60,12.8,-0.001355,-0.913570,31,32.26
60,13.0,-0.000762,-0.528252,30,36.67
60,13.2,0.000191,0.168742,28,39.29
60,13.4,0.001887,1.600733,26,38.46
60,13.6,0.001564,1.331473,26,38.46
60,13.8,0.000953,0.796897,26,34.62
60,14.0,0.000323,0.270005,26,34.62
60,14.2,-0.000003,-0.003085,26,34.62
60,14.4,-0.000299,-0.251198,26,34.62
60,14.6,-0.001093,-0.912775,26,30.77
60,14.8,-0.000896,-0.776449,25,32.00
60,15.0,-0.001197,-1.038463,25,32.00
60,15.2,-0.001971,-1.714380,25,32.00
60,15.4,-0.002316,-2.014357,25,32.00
60,15.6,-0.002668,-2.318376,25,32.00
60,15.8,-0.002999,-2.612321,25,32.00
60,16.0,-0.001038,-1.017736,24,29.17
60,16.2,-0.001405,-1.376085,24,29.17
60,16.4,-0.001185,-1.208488,23,26.09
60,16.6,0.000207,0.223366,22,27.27
60,16.8,0.000911,1.037455,21,28.57
