period,mult,sharpe,expectancy,trades,win_rate
60,1.0,-0.053764,-0.660493,1301,23.29
60,1.2,-0.049542,-0.710047,1069,24.23
60,1.4,-0.042875,-0.732552,891,23.68
60,1.6,-0.036836,-0.739160,757,24.57
60,1.8,-0.029939,-0.692385,643,25.51
60,2.0,-0.026378,-0.718621,555,25.23
60,2.2,-0.025304,-0.779885,490,25.51
60,2.4,-0.019808,-0.701835,427,27.63
60,2.6,-0.018799,-0.746147,383,27.42
60,2.8,-0.017410,-0.782357,348,27.59
60,3.0,-0.014757,-0.743576,314,28.03
60,3.2,-0.010162,-0.606838,274,29.56
60,3.4,-0.011644,-0.719494,250,30.40
60,3.6,-0.006381,-0.479283,222,32.43
60,3.8,-0.007278,-0.572527,207,30.92
60,4.0,-0.003856,-0.379114,185,33.51
60,4.2,-0.000921,-0.171288,167,36.53
60,4.4,-0.002006,-0.276978,158,35.44
60,4.6,-0.003308,-0.410191,150,34.67
60,4.8,-0.002118,-0.323796,139,33.81
60,5.0,-0.003067,-0.438277,130,35.38
60,5.2,0.000311,-0.085403,118,34.75
60,5.4,-0.000994,-0.258127,113,34.51
60,5.6,0.001054,0.008996,106,36.79
60,5.8,0.000909,-0.002152,100,37.00
60,6.0,0.001301,0.056854,94,37.23
60,6.2,0.001065,0.022096,90,36.67
60,6.4,0.000115,-0.139816,86,36.05
60,6.6,0.002118,0.220142,80,37.50
60,6.8,0.002030,0.209113,78,37.18
60,7.0,0.002140,0.252889,73,35.62
60,7.2,0.001786,0.188979,70,35.71
60,7.4,0.001297,0.085423,69,34.78
60,7.6,0.002209,0.291040,65,36.92
60,7.8,0.005088,1.031904,59,37.29
60,8.0,0.004514,0.944225,56,39.29
60,8.2,0.003792,0.755349,56,37.50
60,8.4,0.003702,0.770299,54,38.89
60,8.6,0.004548,1.068703,51,41.18
60,8.8,0.005250,1.370017,48,45.83
60,9.0,0.006505,1.887226,45,46.67
60,9.0,0.006505,1.887226,45,46.67
60,9.2,0.006499,1.910215,44,43.18
60,9.4,0.005513,1.590910,44,43.18
60,9.6,0.005504,1.618146,43,44.19
60,9.8,0.004978,1.477269,42,45.24
60,10.0,0.005953,1.902288,40,42.50
60,10.2,0.005240,1.641039,40,42.50
60,10.4,0.004207,1.273555,40,40.00
60,10.6,0.004588,1.474616,39,38.46
60,10.8,0.005638,1.966697,37,37.84
60,11.0,0.004782,1.631562,37,37.84
60,11.2,0.004666,1.633311,36,38.89
60,11.4,0.003913,1.329178,36,38.89
60,11.6,0.003284,1.081963,36,38.89
60,11.8,0.002286,0.681963,36,38.89
60,12.0,0.002694,0.863444,35,37.14
60,12.2,0.002068,0.609150,35,37.14
60,12.4,0.001309,0.321985,35,37.14
60,12.6,0.001263,0.324903,34,38.24
60,12.8,0.000650,0.057282,34,38.24
