period,mult,sharpe,expectancy,trades,win_rate
60,1.0,-0.027881,-0.640965,1290,28.22
60,1.2,-0.024521,-0.677969,1069,28.44
60,1.4,-0.019268,-0.607567,893,29.68
60,1.6,-0.015116,-0.562229,757,29.99
60,1.8,-0.014152,-0.609258,655,28.09
60,2.0,-0.013515,-0.697854,576,30.03
60,2.2,-0.010713,-0.636175,496,32.46
60,2.4,-0.009306,-0.621168,446,31.39
60,2.6,-0.012510,-0.918138,406,31.28
60,2.8,-0.012078,-0.971485,372,30.65
60,3.0,-0.011250,-1.005801,333,27.93
60,3.2,-0.012321,-1.188725,302,30.46
60,3.4,-0.006453,-0.735079,262,32.06
60,3.6,-0.007371,-0.905153,243,30.86
60,3.8,-0.007002,-0.923971,226,30.09
60,4.0,-0.004828,-0.680006,210,31.43
60,4.2,-0.005045,-0.772469,194,30.41
60,4.4,-0.006722,-1.082494,185,30.27
60,4.6,-0.007380,-1.246230,171,31.58
60,4.8,-0.007569,-1.373684,159,32.70
60,5.0,-0.006412,-1.253985,147,34.01
60,5.2,-0.006357,-1.308844,140,35.00
60,5.4,-0.004727,-1.036852,134,32.84
60,5.6,-0.006129,-1.571988,128,31.25
60,5.8,-0.006036,-1.650854,120,30.00
60,6.0,-0.006939,-1.922827,117,28.21
60,6.2,-0.007884,-2.219772,114,27.19
60,6.4,-0.007439,-2.211353,108,27.78
60,6.6,-0.008034,-2.523004,103,28.16
60,6.8,-0.008212,-2.651641,100,29.00
60,7.0,-0.008156,-2.752044,96,30.21
60,7.2,-0.008017,-2.816238,92,30.43
60,7.4,-0.008242,-2.981345,89,31.46
60,7.6,-0.006293,-2.535120,81,33.33
60,7.8,-0.002543,-1.029095,75,33.33
60,8.0,-0.002500,-1.016905,74,33.78
60,8.2,-0.000368,-0.314369,69,34.78
60,8.4,-0.001844,-0.866395,67,35.82
60,8.6,-0.001576,-0.796107,65,35.38
60,8.8,-0.003017,-1.364843,62,33.87
60,9.0,-0.004334,-1.895768,61,34.43
60,9.0,-0.004334,-1.895768,61,34.43
60,9.2,-0.004337,-1.932875,60,33.33
60,9.4,-0.001880,-1.020031,55,32.73
60,9.6,-0.001998,-1.086311,54,33.33
60,9.8,-0.003661,-1.822844,53,28.30
60,10.0,-0.003518,-1.828122,51,29.41
60,10.2,-0.003128,-1.755707,48,29.17
60,10.4,-0.002431,-1.482700,46,28.26
60,10.6,-0.002117,-1.341232,44,29.55
60,10.8,-0.002841,-1.724167,44,29.55
60,11.0,-0.001715,-1.179790,42,30.95
60,11.2,-0.001226,-0.961174,40,32.50
60,11.4,-0.001342,-1.055029,39,30.77
60,11.6,-0.000899,-0.834919,37,29.73
60,11.8,-0.001448,-1.159248,37,29.73
60,12.0,0.000339,-0.055679,35,31.43
60,12.2,-0.000099,-0.360302,34,32.35
60,12.4,-0.000628,-0.716154,34,32.35
60,12.6,-0.002213,-1.861551,33,30.30
60,12.8,-0.002570,-2.116080,33,30.30
60,13.0,0.000022,-0.263311,30,33.33
60,13.2,0.000415,0.055078,28,39.29
60,13.4,0.000073,-0.237761,28,39.29
60,13.6,-0.000711,-0.909215,28,39.29
60,13.8,0.000987,0.540211,27,40.74
60,14.0,0.001365,0.910575,26,42.31
60,14.2,0.001272,0.890713,25,44.00
60,14.4,0.000824,0.468732,25,44.00
60,14.6,0.000432,0.112731,25,44.00
60,14.8,0.000301,-0.011275,25,44.00
60,15.0,-0.000156,-0.407228,25,44.00
60,15.2,-0.000401,-0.639213,25,44.00
60,15.4,-0.001272,-1.463172,25,44.00
60,15.6,-0.001710,-1.879202,25,44.00
60,15.8,-0.001530,-1.782247,24,45.83
60,16.0,-0.002034,-2.248922,24,45.83
60,16.2,-0.001288,-1.577244,23,47.83
60,16.4,-0.001937,-2.242529,23,47.83
60,16.6,-0.001573,-1.929519,22,40.91
60,16.8,-0.001637,-1.997696,22,40.91
