period,mult,sharpe,expectancy,trades,win_rate
60,1.2,-0.042270,-0.995450,1077,27.58
60,1.4,-0.033471,-0.951828,890,27.87
60,1.6,-0.027842,-0.930307,753,28.42
60,1.8,-0.027597,-1.059370,658,27.96
60,2.0,-0.020147,-0.904873,565,29.56
60,2.2,-0.015289,-0.792699,489,30.06
60,2.4,-0.012831,-0.748378,437,31.12
60,2.6,-0.010709,-0.703612,387,31.01
60,2.8,-0.007721,-0.573155,344,32.27
60,3.0,-0.007925,-0.690080,312,31.73
60,3.2,-0.007151,-0.701215,286,31.82
60,3.4,-0.008008,-0.837826,267,31.46
60,3.6,-0.008923,-0.999226,249,31.33
60,3.8,-0.009148,-1.108859,231,29.87
60,4.0,-0.007765,-1.074324,211,29.38
60,4.2,-0.005374,-0.837868,191,31.41
60,4.4,-0.001578,-0.321887,172,31.98
60,4.6,-0.001531,-0.334477,162,31.48
60,4.8,0.000064,-0.066196,150,32.00
60,5.0,-0.002263,-0.511193,145,28.97
60,5.2,-0.001733,-0.435332,136,28.68
60,5.4,-0.002530,-0.629733,128,28.91
60,5.6,-0.003831,-0.950865,122,29.51
60,5.8,-0.004135,-1.068486,116,30.17
60,6.0,-0.006494,-1.655354,114,28.95
60,6.2,-0.007236,-1.908574,108,28.70
60,6.4,-0.009788,-2.525821,106,28.30
60,6.6,-0.010711,-2.861632,102,25.49
60,6.8,-0.009541,-2.670481,97,25.77
60,7.0,-0.006324,-1.967736,89,29.21
60,7.2,-0.003513,-1.263385,80,32.50
60,7.4,-0.005095,-1.972982,77,29.87
60,7.6,-0.005102,-2.049640,74,28.38
60,7.8,-0.003349,-1.465805,69,30.43
60,8.0,-0.002138,-1.029077,65,32.31
60,8.2,0.000946,0.325069,58,34.48
60,8.4,-0.000646,-0.405962,58,32.76
60,8.6,-0.000965,-0.576906,56,33.93
60,8.8,-0.001731,-0.989776,54,35.19
60,9.0,-0.002653,-1.452743,54,35.19
60,9.2,-0.002095,-1.212760,52,34.62
60,9.4,-0.000730,-0.521294,49,34.69
60,9.6,-0.000590,-0.460470,47,31.91
60,9.8,-0.000342,-0.287767,45,35.56
60,10.0,0.001493,0.929670,41,39.02
60,10.2,0.001297,0.815614,40,40.00
60,10.4,0.003281,2.104823,39,41.03
60,10.6,0.003173,2.091418,38,42.11
60,10.8,0.002555,1.667751,38,39.47
60,11.0,0.003070,2.122417,36,41.67
60,11.2,0.002243,1.514122,36,41.67
60,11.4,0.002951,2.115689,34,44.12
60,11.6,0.003196,2.452318,32,43.75
60,11.8,0.005558,4.142436,31,45.16
60,12.0,0.005596,4.323297,30,46.67
60,12.2,0.006521,5.175141,29,48.28
60,12.4,0.007213,5.897712,28,50.00
60,12.6,0.007711,6.576426,27,48.15
60,12.8,0.007069,6.054233,27,44.44
60,13.0,0.005320,5.286502,26,46.15
60,13.2,0.006301,6.820595,24,50.00
60,13.4,0.005888,6.345525,24,50.00
60,13.6,0.005365,5.783025,24,50.00
60,13.8,0.004833,5.212160,24,45.83
60,14.0,0.003913,4.231046,24,45.83
60,14.2,0.003825,4.206072,24,45.83
60,14.4,0.004067,4.675023,23,47.83
60,14.6,0.003076,3.620664,23,47.83
60,14.8,0.002511,2.972803,23,43.48
60,15.0,0.001971,2.357554,23,39.13
60,15.2,0.001503,1.818398,23,39.13
60,15.4,0.001134,1.392346,23,39.13
60,15.6,0.002669,3.422400,21,42.86
60,15.8,0.002212,2.874819,21,42.86
60,16.0,0.006283,7.880122,19,47.37
60,16.2,0.007118,9.542718,18,50.00
60,16.4,0.008346,11.594076,17,47.06
60,16.6,0.007914,11.064764,17,47.06
60,16.8,0.006897,9.467409,17,47.06
