period,mult,sharpe,expectancy,trades,win_rate
60,1.2,-0.049186,-0.446612,1119,23.50
60,1.4,-0.044116,-0.471054,939,24.39
60,1.6,-0.038411,-0.490785,786,25.06
60,1.8,-0.033315,-0.513549,678,25.96
60,2.0,-0.029315,-0.523268,585,26.50
60,2.2,-0.024882,-0.513515,512,28.12
60,2.4,-0.021979,-0.522575,443,31.38
60,2.6,-0.020772,-0.551136,396,30.56
60,2.8,-0.012600,-0.379869,350,32.00
60,3.0,-0.012105,-0.412763,308,29.22
60,3.2,-0.011983,-0.439892,286,26.92
60,3.4,-0.009251,-0.383136,254,28.35
60,3.6,-0.007525,-0.349322,227,29.52
60,3.8,-0.006089,-0.309225,207,31.40
60,4.0,-0.006920,-0.375654,193,30.57
60,4.2,-0.006688,-0.380780,183,31.69
60,4.4,-0.006100,-0.375299,170,32.35
60,4.6,-0.004888,-0.326114,157,32.48
60,4.8,-0.003543,-0.258761,144,32.64
60,5.0,-0.001402,-0.100718,138,33.33
60,5.2,-0.002780,-0.211083,131,32.06
60,5.4,-0.002576,-0.242114,123,31.71
60,5.6,-0.002268,-0.234494,113,31.86
60,5.8,-0.002143,-0.233988,108,33.33
60,6.0,-0.000471,-0.081500,101,33.66
60,6.2,-0.000115,-0.049188,96,32.29
60,6.4,0.000824,0.049744,90,34.44
60,6.6,0.000187,-0.019776,87,35.63
60,6.8,0.000942,0.072796,80,37.50
60,7.0,-0.000283,-0.081190,78,37.18
60,7.2,-0.000518,-0.113605,75,34.67
60,7.4,-0.001953,-0.310179,74,33.78
60,7.6,-0.000973,-0.184505,70,32.86
60,7.8,-0.001791,-0.305180,69,30.43
60,8.0,-0.000410,-0.110513,65,32.31
60,8.2,-0.000780,-0.172153,63,31.75
60,8.4,-0.000977,-0.209207,61,29.51
60,8.6,-0.000177,-0.071598,58,31.03
60,8.8,0.001150,0.169541,55,30.91
60,9.0,0.002193,0.396444,50,34.00
60,9.2,0.002909,0.563890,48,31.25
60,9.4,0.003225,0.669574,45,31.11
60,9.6,0.002447,0.491806,45,31.11
60,9.8,0.001482,0.311353,44,34.09
60,10.0,0.000566,0.103410,44,31.82
60,10.2,0.001157,0.238823,43,32.56
60,10.4,0.002939,0.712464,39,35.90
60,10.6,0.002420,0.582975,39,35.90
60,10.8,0.004853,1.295242,36,38.89
60,11.0,0.003567,0.929917,36,38.89
60,11.2,0.006412,1.985111,32,40.62
60,11.4,0.006807,2.170713,31,41.94
60,11.6,0.009686,3.572251,27,48.15
60,11.8,0.008915,3.301917,27,48.15
60,12.0,0.009289,3.550585,26,50.00
60,12.2,0.008668,3.306350,26,50.00
60,12.4,0.009304,3.850718,24,45.83
60,12.6,0.011107,5.055170,22,50.00
60,12.8,0.010396,4.789275,22,50.00
60,13.0,0.010045,4.627889,22,50.00
60,13.2,0.009017,4.098264,22,45.45
60,13.4,0.009331,4.474819,21,47.62
60,13.6,0.009544,4.813843,20,45.00
60,13.8,0.009252,4.668853,20,45.00
60,14.0,0.009008,4.538840,20,45.00
60,14.2,0.008665,4.341330,20,45.00
60,14.4,0.007895,3.963857,20,45.00
60,14.6,0.007585,3.778848,20,45.00
60,14.8,0.007140,3.531348,20,40.00
60,15.0,0.005079,2.403656,20,35.00
60,15.2,0.004873,2.308653,20,35.00
60,15.4,0.005911,3.139988,18,33.33
60,15.6,0.006626,3.702531,17,35.29
60,15.8,0.006279,3.508415,17,35.29
60,16.0,0.006149,3.437841,17,35.29
60,16.2,0.005634,3.149618,17,35.29
60,16.4,0.004859,2.826064,17,35.29
60,16.6,0.004190,2.458432,17,35.29
60,16.8,0.003982,2.346673,17,35.29
