period,mult,sharpe,expectancy,trades,win_rate
60,1.2,-0.047764,-1.778571,1112,26.53
60,1.4,-0.036140,-2.088350,924,26.95
60,1.6,-0.032038,-2.155256,780,26.79
60,1.8,-0.026931,-2.115047,671,28.32
60,2.0,-0.026032,-2.329143,582,28.01
60,2.2,-0.023586,-1.889945,508,29.72
60,2.4,-0.022941,-2.056136,459,30.28
60,2.6,-0.021001,-1.969061,414,31.40
60,2.8,-0.013548,-1.505463,371,31.54
60,3.0,-0.014428,-1.780541,342,31.58
60,3.2,-0.012685,-1.734016,307,30.29
60,3.4,-0.013234,-1.961303,282,30.85
60,3.6,-0.015194,-2.374599,266,30.83
60,3.8,-0.016652,-2.767105,250,28.80
60,4.0,-0.014162,-2.569069,226,30.09
60,4.2,-0.012445,-2.448808,208,31.25
60,4.4,-0.011995,-2.536643,192,28.65
60,4.6,-0.011762,-2.694272,177,25.99
60,4.8,-0.009820,-2.451664,162,26.54
60,5.0,-0.008763,-2.329993,152,27.63
60,5.2,-0.006086,-1.750231,140,30.00
60,5.4,-0.006781,-2.037587,134,29.85
60,5.6,-0.003200,-1.039324,125,29.60
60,5.8,-0.001997,-0.699819,116,31.03
60,6.0,-0.002303,-0.857668,110,31.82
60,6.2,-0.001387,-0.545239,104,30.77
60,6.4,-0.002852,-1.160226,100,30.00
60,6.6,-0.000687,-0.310072,90,28.89
60,6.8,0.000657,0.316892,84,29.76
60,7.0,0.000084,0.040765,82,29.27
60,7.2,-0.001310,-0.663362,80,27.50
60,7.4,-0.001542,-0.811863,77,27.27
60,7.6,0.000152,-0.027097,71,28.17
60,7.8,-0.000528,-0.400456,69,28.99
60,8.0,0.000266,0.071820,64,29.69
60,8.2,-0.001128,-0.829964,63,30.16
60,8.4,-0.002285,-1.585485,63,30.16
60,8.6,-0.001555,-1.137399,60,33.33
60,8.8,-0.002642,-1.858232,60,33.33
60,9.0,-0.000999,-0.778738,55,32.73
60,9.2,-0.001555,-1.200981,54,33.33
60,9.4,-0.001456,-1.165046,52,34.62
60,9.6,-0.000634,-0.562009,50,34.00
60,9.8,-0.000241,-0.262587,47,34.04
60,10.0,0.000311,0.215732,46,34.78
60,10.2,0.001252,1.096088,44,36.36
60,10.4,-0.001918,-1.783620,43,30.23
60,10.6,-0.002400,-2.262498,42,30.95
60,10.8,-0.001220,-1.253464,39,30.77
60,11.0,-0.000021,-0.093992,37,32.43
60,11.2,0.000107,0.070076,36,33.33
60,11.4,-0.000731,-0.804843,36,33.33
60,11.6,-0.002053,-2.160512,36,30.56
60,11.8,-0.002131,-2.281507,35,31.43
60,12.0,-0.003473,-3.575985,35,28.57
60,12.2,-0.004046,-4.164549,35,28.57
60,12.4,-0.004904,-5.365100,34,29.41
60,12.6,-0.003442,-3.984279,32,25.00
60,12.8,-0.003931,-4.584280,32,25.00
60,13.0,-0.005223,-6.594504,31,25.81
60,13.2,-0.005665,-7.393357,30,26.67
60,13.4,-0.006091,-7.941736,30,23.33
60,13.6,-0.006730,-8.738335,30,23.33
60,13.8,-0.006927,-8.978364,30,23.33
60,14.0,-0.006642,-8.904067,29,24.14
60,14.2,-0.007209,-9.662712,29,24.14
60,14.4,-0.010070,-12.861439,29,24.14
60,14.6,-0.008730,-12.075594,27,25.93
60,14.8,-0.008360,-11.944548,26,26.92
60,15.0,-0.008737,-12.436860,26,26.92
60,15.2,-0.009238,-13.267547,26,26.92
60,15.4,-0.009606,-13.821323,26,26.92
60,15.6,-0.009868,-14.234698,26,26.92
60,15.8,-0.010368,-14.869266,26,26.92
60,16.0,-0.009344,-13.343770,25,28.00
60,16.2,-0.008538,-12.619874,24,29.17
60,16.4,-0.009103,-13.378303,24,29.17
60,16.6,-0.009857,-14.574002,24,29.17
60,16.8,-0.010236,-15.153196,24,29.17
