period,mult,sharpe,expectancy,trades,win_rate
60,1.2,-0.033481,-0.833813,1114,27.29
60,1.4,-0.028346,-0.840034,920,28.37
60,1.6,-0.022654,-0.795343,765,30.07
60,1.8,-0.021065,-0.840890,673,31.05
60,2.0,-0.018342,-0.848754,583,32.25
60,2.2,-0.016996,-0.889488,515,32.82
60,2.4,-0.016958,-0.988166,464,32.76
60,2.6,-0.016749,-1.057809,418,32.54
60,2.8,-0.010201,-0.786283,366,32.79
60,3.0,-0.008615,-0.731806,333,33.33
60,3.2,-0.003775,-0.326571,297,36.03
60,3.4,-0.003262,-0.327217,265,38.11
60,3.6,-0.003820,-0.415898,243,41.15
60,3.8,-0.005661,-0.653741,228,38.16
60,4.0,-0.006587,-0.809816,212,37.26
60,4.2,-0.006542,-0.858838,199,36.18
60,4.4,-0.003116,-0.450470,179,38.55
60,4.6,-0.002357,-0.370711,163,36.20
60,4.8,-0.004171,-0.686032,158,33.54
60,5.0,-0.005611,-0.981689,150,34.67
60,5.2,-0.006044,-1.105608,143,34.97
60,5.4,-0.006774,-1.241006,139,32.37
60,5.6,-0.004428,-0.891295,128,33.59
60,5.8,-0.005367,-1.126742,124,33.87
60,6.0,-0.004105,-0.919893,116,35.34
60,6.2,-0.003979,-0.968485,110,36.36
60,6.4,-0.004812,-1.200842,107,34.58
60,6.6,-0.005027,-1.298910,103,34.95
60,6.8,-0.004295,-1.173033,97,36.08
60,7.0,-0.003624,-1.046276,92,33.70
60,7.2,-0.003688,-1.131351,87,34.48
60,7.4,-0.003254,-1.062443,82,34.15
60,7.6,-0.005689,-1.825899,82,34.15
60,7.8,-0.007473,-2.392953,82,31.71
60,8.0,-0.003773,-1.329696,75,33.33
60,8.2,-0.002888,-1.068177,72,33.33
60,8.4,-0.002198,-0.863469,68,36.76
60,8.6,-0.002742,-1.120874,66,34.85
60,8.8,-0.004643,-1.927117,65,33.85
60,9.0,-0.006213,-2.573264,65,30.77
60,9.2,-0.007124,-2.981404,64,31.25
60,9.4,-0.007153,-3.118737,62,30.65
60,9.6,-0.009416,-4.150895,62,30.65
60,9.8,-0.007438,-3.490091,58,29.31
60,10.0,-0.006746,-3.273449,56,30.36
60,10.2,-0.006560,-3.307225,54,29.63
60,10.4,-0.005474,-3.040057,51,29.41
60,10.6,-0.004142,-2.421616,48,31.25
60,10.8,-0.004029,-2.469780,46,30.43
60,11.0,-0.004440,-2.785470,44,29.55
60,11.2,-0.003794,-2.487959,42,26.19
60,11.4,-0.001830,-1.309358,39,28.21
60,11.6,0.000497,0.345159,37,29.73
60,11.8,-0.000314,-0.241295,37,29.73
60,12.0,-0.000729,-0.558940,36,27.78
60,12.2,-0.001007,-0.767273,36,27.78
60,12.4,-0.000332,-0.277391,34,29.41
60,12.6,-0.001662,-1.350824,34,26.47
60,12.8,-0.001891,-1.536095,34,26.47
60,13.0,-0.000371,-0.335289,32,25.00
60,13.2,0.000070,0.045290,31,25.81
60,13.4,-0.000523,-0.512244,30,23.33
60,13.6,-0.000303,-0.256683,29,24.14
60,13.8,-0.000818,-0.763543,29,24.14
60,14.0,-0.002012,-1.959968,29,24.14
60,14.2,-0.001261,-1.256366,28,25.00
60,14.4,-0.001864,-1.884948,28,25.00
60,14.6,-0.002059,-2.084976,28,25.00
60,14.8,-0.002494,-2.542142,28,25.00
60,15.0,-0.002746,-2.802854,28,25.00
60,15.2,-0.002561,-2.664672,27,25.93
60,15.4,-0.001957,-2.101430,26,26.92
60,15.6,-0.000962,-1.042618,25,28.00
60,15.8,-0.001234,-1.358621,25,28.00
60,16.0,-0.001348,-1.438600,25,28.00
60,16.2,-0.001750,-1.906599,25,28.00
60,16.4,-0.002299,-2.542624,25,28.00
60,16.6,-0.001368,-1.521010,24,29.17
60,16.8,-0.001195,-1.369573,23,26.09
