period,mult,sharpe,expectancy,trades,win_rate
60,1.2,-0.036070,-1.112983,1088,26.47
60,1.4,-0.031148,-1.134071,907,27.67
60,1.6,-0.028669,-1.196016,790,27.85
60,1.8,-0.025758,-1.249768,676,28.99
60,2.0,-0.025026,-1.386009,595,29.75
60,2.2,-0.024744,-1.560849,522,30.08
60,2.4,-0.023629,-1.626107,468,30.13
60,2.6,-0.020484,-1.611651,409,30.32
60,2.8,-0.017567,-1.539168,369,33.33
60,3.0,-0.017355,-1.665329,335,32.24
60,3.2,-0.014030,-1.506916,301,34.22
60,3.4,-0.011820,-1.455567,265,34.34
60,3.6,-0.012218,-1.604611,248,31.85
60,3.8,-0.017104,-2.214618,228,31.14
60,4.0,-0.015069,-2.175622,212,31.13
60,4.2,-0.012503,-2.104788,198,30.30
60,4.4,-0.009182,-1.721477,180,31.67
60,4.6,-0.009826,-1.950057,170,30.59
60,4.8,-0.010686,-2.204307,164,30.49
60,5.0,-0.008812,-1.987619,149,32.21
60,5.2,-0.008013,-1.925143,140,35.00
60,5.4,-0.008643,-2.125714,136,36.03
60,5.6,-0.009287,-2.296524,132,34.09
60,5.8,-0.009945,-2.574638,122,31.15
60,6.0,-0.010652,-2.838575,118,28.81
60,6.2,-0.010537,-2.928164,113,29.20
60,6.4,-0.011212,-3.277416,108,28.70
60,6.6,-0.011041,-3.380550,103,29.13
60,6.8,-0.014345,-4.348120,97,28.87
60,7.0,-0.012888,-4.290548,90,26.67
60,7.2,-0.013628,-4.626264,88,27.27
60,7.4,-0.014773,-5.114864,87,27.59
60,7.6,-0.014788,-5.308450,84,27.38
60,7.8,-0.014696,-5.517155,80,27.50
60,8.0,-0.013184,-5.324414,75,30.67
60,8.2,-0.012006,-5.077256,71,32.39
60,8.4,-0.011693,-5.022872,70,31.43
60,8.6,-0.007939,-3.860495,64,37.50
60,8.8,-0.009799,-4.944565,63,33.33
60,9.0,-0.009767,-5.137543,60,31.67
60,9.2,-0.009159,-5.060533,57,33.33
60,9.4,-0.008554,-4.946029,54,35.19
60,9.6,-0.008251,-4.944326,52,34.62
60,9.8,-0.007695,-4.827489,50,34.00
60,10.0,-0.005060,-3.544402,48,37.50
60,10.2,-0.005267,-3.771275,47,40.43
60,10.4,-0.003810,-2.474395,46,39.13
60,10.6,-0.003814,-2.528042,45,40.00
60,10.8,-0.004068,-2.902068,42,40.48
60,11.0,-0.004325,-3.152851,41,36.59
60,11.2,-0.004522,-3.394927,40,35.00
60,11.4,-0.003854,-3.042286,38,36.84
60,11.6,-0.004451,-3.458069,38,34.21
60,11.8,-0.002931,-2.196722,37,35.14
60,12.0,-0.002271,-1.801546,35,34.29
60,12.2,-0.002443,-1.983032,34,35.29
60,12.4,-0.003217,-2.616813,34,35.29
60,12.6,-0.002968,-2.493642,33,36.36
60,12.8,-0.004194,-3.477003,33,33.33
60,13.0,-0.003797,-3.242762,32,34.38
60,13.2,-0.003514,-3.101463,31,35.48
60,13.4,-0.004147,-3.657926,31,35.48
60,13.6,-0.004763,-4.206231,31,35.48
60,13.8,-0.004993,-4.414277,31,35.48
60,14.0,-0.005422,-4.786881,31,35.48
60,14.2,-0.004532,-4.020475,30,36.67
60,14.4,-0.005086,-4.507198,30,36.67
60,14.6,-0.005558,-4.925521,30,36.67
60,14.8,-0.006243,-5.503858,30,33.33
60,15.0,-0.005464,-5.107421,29,31.03
60,15.2,-0.005319,-5.135346,28,32.14
60,15.4,-0.004740,-4.737848,27,33.33
60,15.6,-0.005930,-5.864874,26,34.62
60,15.8,-0.004563,-4.958203,24,37.50
60,16.0,-0.004276,-4.816175,23,34.78
60,16.2,-0.004434,-4.977061,23,34.78
60,16.4,-0.004664,-5.233626,23,34.78
60,16.6,-0.005674,-6.370575,23,34.78
60,16.8,-0.003623,-4.403412,21,42.86
