period,mult,sharpe,expectancy,trades,win_rate
60,1.2,-0.028019,-0.365366,1121,26.76
60,1.4,-0.023847,-0.372499,936,28.42
60,1.6,-0.018888,-0.348082,787,29.86
60,1.8,-0.015201,-0.327351,673,31.20
60,2.0,-0.011261,-0.281386,582,31.10
60,2.2,-0.011000,-0.315129,506,32.02
60,2.4,-0.009457,-0.302157,446,33.18
60,2.6,-0.003201,-0.121592,388,35.82
60,2.8,-0.002875,-0.120397,340,36.18
60,3.0,-0.003297,-0.151123,311,36.33
60,3.2,-0.002063,-0.104498,283,34.63
60,3.4,-0.001686,-0.094728,264,35.23
60,3.6,-0.000509,-0.031225,242,34.30
60,3.8,-0.000264,-0.014567,219,33.33
60,4.0,0.002017,0.156953,196,35.71
60,4.2,0.004265,0.299796,185,35.14
60,4.4,0.003923,0.290561,175,37.14
60,4.6,0.004928,0.388506,165,37.58
60,4.8,0.002005,0.177918,156,36.54
60,5.0,-0.001445,-0.139512,148,36.49
60,5.2,-0.001401,-0.139608,138,37.68
60,5.4,-0.002515,-0.287192,127,37.80
60,5.6,-0.002514,-0.298803,122,38.52
60,5.8,-0.002270,-0.286389,114,36.84
60,6.0,-0.003065,-0.403999,110,37.27
60,6.2,-0.003888,-0.531262,107,35.51
60,6.4,-0.004472,-0.630069,104,36.54
60,6.6,-0.003478,-0.516693,97,36.08
60,6.8,-0.003889,-0.607069,92,33.70
60,7.0,-0.004145,-0.671089,89,30.34
60,7.2,-0.003681,-0.622629,85,30.59
60,7.4,-0.000805,-0.151277,78,32.05
60,7.6,-0.000585,-0.111380,76,32.89
60,7.8,-0.000423,-0.087701,70,31.43
60,8.0,0.000775,0.171396,66,33.33
60,8.2,0.002672,0.634486,62,35.48
60,8.4,0.000710,0.166749,61,34.43
60,8.6,-0.000304,-0.071759,61,32.79
60,8.8,-0.001835,-0.435751,60,30.00
60,9.0,-0.000720,-0.180962,57,28.07
60,9.2,-0.001052,-0.273885,55,29.09
60,9.4,-0.000400,-0.108607,53,32.08
60,9.6,-0.000769,-0.212816,52,32.69
60,9.8,0.001188,0.343990,48,33.33
60,10.0,0.006770,1.821812,43,37.21
60,10.2,0.006760,1.925633,41,36.59
60,10.4,0.006574,1.925090,40,37.50
60,10.6,0.006388,1.914188,39,35.90
60,10.8,0.005894,1.822879,38,34.21
60,11.0,0.005854,1.906806,36,33.33
60,11.2,0.006169,2.135460,34,38.24
60,11.4,0.005844,2.022229,34,38.24
60,11.6,0.005808,2.044644,33,39.39
60,11.8,0.005999,2.181193,32,40.62
60,12.0,0.004941,1.798407,32,40.62
60,12.2,0.005292,1.996037,31,41.94
60,12.4,0.005875,2.328010,30,43.33
60,12.6,0.004802,1.879605,30,40.00
60,12.8,0.004573,1.851069,29,41.38
60,13.0,0.004184,1.694184,29,41.38
60,13.2,0.003709,1.508000,29,41.38
60,13.4,0.004168,1.755375,28,42.86
60,13.6,0.003541,1.491061,28,42.86
60,13.8,0.004139,1.818054,27,44.44
60,14.0,0.003533,1.553254,27,44.44
60,14.2,0.005449,2.549084,25,48.00
60,14.4,0.005136,2.417108,25,48.00
60,14.6,0.006636,3.351629,23,52.17
60,14.8,0.006269,3.158150,23,52.17
60,15.0,0.006256,3.303219,22,54.55
60,15.2,0.005741,3.010032,22,50.00
60,15.4,0.004954,2.584960,22,50.00
60,15.6,0.005174,2.851020,21,47.62
60,15.8,0.006887,4.185709,20,55.00
60,16.0,0.006569,3.993200,20,55.00
60,16.2,0.006465,3.928192,20,55.00
60,16.4,0.006333,3.815732,20,50.00
60,16.6,0.005867,3.533225,20,50.00
60,16.8,0.005134,3.136632,19,52.63
