symbol,phase,start,end,period,mult,sharpe,max_dd,trades,win_rate,won,lost
AXISBANK,train,2025-05-01,2025-05-31,60,2.0,0.0067,0.9107,16,56.25,9,7
AXISBANK,test,2025-06-01,2025-06-30,60,2.0,0.0065,0.9107,24,54.17,13,11
AXISBANK,july,2025-07-01,2025-07-14,60,2.0,0.0038,0.9107,30,50.0,15,15
HDFCBANK,train,2025-05-01,2025-05-31,120,1.8,0.009,1.006,12,58.33,7,5
HDFCBANK,test,2025-06-01,2025-06-30,120,1.8,0.0089,1.006,20,50.0,10,10
HDFCBANK,july,2025-07-01,2025-07-14,120,1.8,0.007,1.006,25,52.0,13,12
ICICIBANK,train,2025-05-01,2025-05-31,120,1.8,0.0083,0.687,19,57.89,11,8
ICICIBANK,test,2025-06-01,2025-06-30,120,1.8,0.007,0.687,29,55.17,16,13
ICICIBANK,july,2025-07-01,2025-07-14,120,1.8,0.0047,0.687,33,51.52,17,16
INFY,train,2025-05-01,2025-05-31,60,2.0,0.0022,2.0987,12,50.0,6,6
INFY,test,2025-06-01,2025-06-30,60,2.0,0.0031,2.0987,20,55.0,11,9
INFY,july,2025-07-01,2025-07-14,60,2.0,0.0022,2.0987,26,53.85,14,12
KOTAKBANK,train,2025-05-01,2025-05-31,80,2.0,-0.0038,2.6737,11,36.36,4,7
KOTAKBANK,test,2025-06-01,2025-06-30,80,2.0,0.0009,2.8097,21,52.38,11,10
KOTAKBANK,july,2025-07-01,2025-07-14,80,2.0,0.0001,2.8097,27,48.15,13,14
SBIN,train,2025-05-01,2025-05-31,120,1.8,0.0052,0.7223,18,55.56,10,8
SBIN,test,2025-06-01,2025-06-30,120,1.8,0.0031,0.7223,26,53.85,14,12
SBIN,july,2025-07-01,2025-07-14,120,1.8,0.0033,0.7223,29,55.17,16,13
SUNPHARMA,train,2025-05-01,2025-05-31,80,1.8,-0.0014,2.0328,32,46.88,15,17
SUNPHARMA,test,2025-06-01,2025-06-30,80,1.8,-0.0007,2.1681,47,53.19,25,22
SUNPHARMA,july,2025-07-01,2025-07-14,80,1.8,-0.001,2.1681,58,50.0,29,29
TECHM,train,2025-05-01,2025-05-31,120,1.8,0.0081,1.857,32,56.25,18,14
TECHM,test,2025-06-01,2025-06-30,120,1.8,0.0086,1.857,44,59.09,26,18
TECHM,july,2025-07-01,2025-07-14,120,1.8,0.006,1.857,52,53.85,28,24
