dt_in,dt_out,price_in,price_out,size,side,pnl,pnl_comm,barlen,tradeid,atr_entry,atr_pct,mae_abs,mae_pct,mfe_abs,mfe_pct,ret_pct,symbol,period_label,fast,mid1,mid2,mid3,sl_mode,sl_value,tg_mode,tg1,tg2,tg3,trail_type,use_sl_tg,use_trailing,use_signal_exit,reentry_cooldown,atr_mean
2025-07-01 09:33:00,2025-07-01 11:56:00,1666.7,1643.6,1.0,BUY,-23.100000000000136,-23.762060000000137,143,0,2.515250774496208,0.001509120282292079,23.700000000000045,0.014219715605687914,0.0,0.0,-0.014256950860982862,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-01 11:57:00,2025-07-02 09:20:00,1643.7,1663.0,-1.0,SELL,-19.299999999999955,-19.961339999999954,218,0,0.8928910835687925,0.0005432202248395647,24.799999999999955,0.015087911419358736,4.400000000000091,0.0026768875098862875,-0.012144150392407346,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-02 09:21:00,2025-07-02 10:33:00,1663.4,1642.8,1.0,BUY,-20.600000000000136,-21.261240000000136,72,0,3.138572554702827,0.0018868417426372653,21.200000000000045,0.012744980161115813,2.199999999999818,0.0013225922808703969,-0.012781796320788828,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-02 10:39:00,2025-07-02 12:13:00,1641.2,1647.3,-1.0,SELL,-6.099999999999909,-6.757699999999909,94,0,1.7496384991116116,0.0010660726901728075,6.7000000000000455,0.0040823787472581315,3.6000000000001364,0.002193516938825333,-0.004117535949305331,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-02 12:15:00,2025-07-02 13:36:00,1647.5,1643.2,1.0,BUY,-4.2999999999999545,-4.958139999999955,81,0,0.9687643624520024,0.0005880208573305022,5.2999999999999545,0.0032169954476479238,4.2999999999999545,0.0026100151745068008,-0.0030094931714719,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-02 13:37:00,2025-07-02 14:22:00,1642.9,1645.5,-1.0,SELL,-2.599999999999909,-3.257679999999909,45,0,1.0156400007276165,0.000618199525672662,4.0,0.002434719094284497,0.7000000000000455,0.00042607584149981464,-0.0019828839247671244,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-02 14:23:00,2025-07-03 12:17:00,1645.9,1647.1,1.0,BUY,1.199999999999818,0.541399999999818,249,0,0.6568602225227804,0.0003990887797088404,2.6000000000001364,0.0015796828482897724,16.699999999999818,0.010146424448629818,0.000328938574639904,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-03 12:18:00,2025-07-04 09:29:00,1647.7,1655.5,-1.0,SELL,-7.7999999999999545,-8.460639999999955,206,0,1.3793230671202001,0.0008371202689325727,9.700000000000045,0.0058869939916247165,7.7000000000000455,0.004673180797475296,-0.005134818231474149,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-04 09:30:00,2025-07-04 13:44:00,1655.9,1655.5,1.0,BUY,-0.40000000000009095,-1.062280000000091,254,0,2.4400078892151065,0.001473523696609159,8.900000000000091,0.005374720695694239,8.0,0.004831209614107132,-0.0006415121686092704,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-04 13:46:00,2025-07-04 15:05:00,1653.2,1655.3,-1.0,SELL,-2.099999999999909,-2.7616999999999092,79,0,1.0622657117125098,0.0006425512410552322,2.7000000000000455,0.001633196225502084,2.400000000000091,0.0014517299782241054,-0.0016705177836921783,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
