fast,slow,sharpe,max_dd,trades,win%
50,150,0.0068,0.9338,248,42.7
250,300,0.0067,0.9789,90,43.3
150,600,0.0067,1.1548,75,46.7
200,300,0.0041,1.0419,96,49.0
200,500,0.004,1.223,71,45.1
150,300,0.0031,1.056,107,48.6
450,650,0.003,1.9302,43,41.9
750,2500,0.0027,1.3524,17,47.1
450,600,0.0025,1.9471,45,42.2
50,250,0.0024,1.8715,180,40.6
100,250,0.0024,2.0554,135,50.4
400,700,0.0023,1.9086,44,43.2
200,350,0.0022,1.1344,90,47.8
400,650,0.0022,1.927,44,43.2
250,550,0.0021,1.1983,60,41.7
350,650,0.002,1.8737,47,46.8
650,2450,0.0019,1.3094,19,47.4
150,500,0.0018,1.3557,86,39.5
50,200,0.0018,0.982,207,40.6
400,600,0.0017,1.8888,48,39.6
100,700,0.0017,1.9289,78,34.6
200,600,0.0017,1.3449,65,44.6
650,2400,0.0016,1.3148,19,47.4
500,600,0.0014,1.1825,45,37.8
650,2500,0.0014,1.5034,18,38.9
700,1650,0.0013,1.0725,19,42.1
600,2500,0.0013,1.2607,20,45.0
300,350,0.0013,1.2268,76,43.4
700,1600,0.0012,1.181,22,45.5
700,1700,0.0012,1.0874,20,40.0
650,1650,0.0011,1.1873,24,37.5
150,250,0.0011,2.0607,116,50.0
250,450,0.001,1.9437,67,41.8
200,550,0.001,1.2585,67,44.8
500,650,0.001,1.938,43,41.9
600,650,0.001,1.9026,42,42.9
150,700,0.001,1.8936,64,39.1
250,350,0.0009,1.3203,81,42.0
600,2450,0.0008,1.3477,20,45.0
350,700,0.0007,1.8727,47,42.6
450,700,0.0007,1.9473,43,41.9
200,250,0.0006,1.3668,114,43.0
100,750,0.0006,1.894,71,36.6
150,650,0.0006,1.8625,70,40.0
700,2500,0.0005,1.5705,18,33.3
50,100,0.0005,1.7221,321,38.6
650,1550,0.0005,1.1564,26,34.6
150,750,0.0005,1.7745,63,38.1
450,800,0.0004,1.9528,41,39.0
300,700,0.0004,1.8681,50,46.0
300,800,0.0003,1.9025,47,44.7
350,800,0.0003,1.9144,48,39.6
350,750,0.0003,1.8817,47,34.0
750,1650,0.0003,1.1125,19,42.1
500,750,0.0002,1.9118,41,39.0
700,1550,0.0002,1.2426,23,39.1
700,2450,0.0002,1.5427,18,38.9
200,450,0.0002,2.0841,74,43.2
550,700,0.0002,1.8966,43,44.2
450,750,0.0002,1.9558,43,39.5
250,600,0.0001,1.4793,58,44.8
650,1750,0.0001,1.322,23,39.1
550,2450,0.0001,1.2841,21,47.6
350,600,0.0001,1.8782,53,43.4
350,450,0.0001,2.3618,57,36.8
650,1600,-0.0,1.3261,26,34.6
450,850,0.0,1.9609,39,35.9
750,1550,0.0,1.2053,22,45.5
700,1500,-0.0,1.1733,24,33.3
500,800,-0.0001,1.9329,39,38.5
650,1700,-0.0001,1.3079,23,34.8
550,2350,-0.0001,1.3258,21,47.6
600,2400,-0.0001,1.2943,21,42.9
250,750,-0.0001,1.8292,52,38.5
300,750,-0.0001,1.8602,49,38.8
550,2400,-0.0001,1.3795,21,42.9
550,750,-0.0001,1.9287,39,33.3
750,1500,-0.0002,1.176,23,39.1
500,550,-0.0002,1.3591,49,36.7
400,800,-0.0002,1.9196,45,35.6
250,500,-0.0002,2.2065,62,37.1
150,550,-0.0003,2.1797,80,38.8
500,850,-0.0003,1.9313,40,35.0
50,300,-0.0004,2.2459,163,40.5
750,1600,-0.0004,1.2184,22,45.5
100,800,-0.0005,1.7742,73,32.9
650,1500,-0.0005,1.1986,26,42.3
600,1600,-0.0005,1.2964,25,40.0
500,700,-0.0005,1.9684,43,41.9
200,950,-0.0005,1.7911,51,37.3
750,1700,-0.0005,1.1301,19,42.1
300,650,-0.0005,1.8827,52,42.3
400,750,-0.0005,1.9415,45,37.8
150,2300,-0.0006,1.6997,40,35.0
800,1500,-0.0006,1.1604,22,40.9
800,1650,-0.0006,1.0847,19,42.1
200,400,-0.0006,2.1569,81,35.8
750,1750,-0.0006,1.1259,19,42.1
100,650,-0.0006,1.9257,89,40.4
650,1800,-0.0007,1.3627,22,40.9
550,650,-0.0007,1.9314,44,40.9
800,1600,-0.0007,1.2103,21,42.9
400,900,-0.0008,1.9254,42,38.1
600,1550,-0.0008,1.2825,26,42.3
500,2400,-0.0008,1.398,23,39.1
300,950,-0.0008,1.8796,46,34.8
200,1600,-0.0008,1.349,48,25.0
250,1700,-0.0008,1.4018,38,26.3
800,1850,-0.0009,1.193,19,36.8
250,800,-0.0009,1.8318,49,38.8
200,1650,-0.0009,1.4347,46,23.9
50,1700,-0.0009,1.4941,84,28.6
250,400,-0.0009,2.3347,73,38.4
800,1700,-0.0009,1.1327,19,42.1
400,850,-0.0009,1.9227,44,36.4
900,1600,-0.0009,1.1364,18,38.9
200,750,-0.0009,1.8082,54,40.7
700,1750,-0.0009,1.1087,20,40.0
800,1550,-0.0009,1.2909,22,45.5
800,1800,-0.0009,1.15,19,31.6
350,950,-0.001,1.8882,43,34.9
550,1650,-0.001,1.3328,25,48.0
800,1750,-0.001,1.2309,18,38.9
350,850,-0.001,1.9236,47,34.0
200,800,-0.001,1.8056,55,40.0
600,1700,-0.001,1.4776,26,42.3
250,700,-0.001,1.8374,52,40.4
550,600,-0.0011,1.643,44,29.5
450,900,-0.0011,1.9623,41,31.7
200,1700,-0.0012,1.3758,45,24.4
850,1600,-0.0012,1.1318,19,36.8
300,1600,-0.0012,1.6005,36,30.6
300,1550,-0.0012,1.612,37,29.7
100,850,-0.0012,1.7613,70,31.4
150,450,-0.0012,2.122,84,34.5
600,1650,-0.0013,1.3741,25,40.0
450,550,-0.0013,1.6389,50,34.0
300,400,-0.0013,2.4251,66,42.4
450,2400,-0.0013,1.4237,24,29.2
100,900,-0.0014,1.7547,70,30.0
200,900,-0.0014,1.8,54,37.0
350,900,-0.0014,1.9138,44,34.1
100,1700,-0.0014,1.4122,67,32.8
850,1700,-0.0014,1.2584,18,38.9
500,2350,-0.0014,1.3731,22,36.4
300,500,-0.0014,2.6862,59,37.3
300,900,-0.0014,1.8748,48,31.2
300,850,-0.0014,1.884,50,36.0
850,1750,-0.0014,1.2603,18,38.9
100,400,-0.0014,1.9316,103,33.0
950,1600,-0.0015,1.2299,18,38.9
400,2400,-0.0015,1.4579,24,25.0
200,1000,-0.0015,1.8011,50,34.0
250,1650,-0.0015,1.4375,37,27.0
200,1550,-0.0015,1.3647,48,27.1
350,1000,-0.0015,1.8715,40,35.0
100,150,-0.0015,1.3256,190,42.1
600,1500,-0.0016,1.5132,27,44.4
