ratio,fast,slow,sharpe,max_dd,trades,win%
4.0,960,3840,0.0027,0.7955,13,38.5
3.3,160,528,0.0015,1.3271,79,38.0
2.5,640,1600,0.0007,1.2463,25,36.0
2.0,160,320,0.0004,1.347,104,42.3
2.5,320,800,0.0002,1.8727,47,40.4
2.0,320,640,0.0001,1.8558,50,46.0
4.0,160,640,-0.0002,1.8615,70,42.9
3.0,160,480,-0.0007,2.1289,83,39.8
3.0,320,960,-0.0013,1.891,44,34.1
2.5,160,400,-0.0025,2.2628,88,37.5
2.0,480,960,-0.0027,1.9479,39,35.9
2.0,640,1280,-0.0046,1.6284,30,23.3
3.3,480,1584,-0.0046,1.8822,28,35.7
4.0,320,1280,-0.0052,1.7247,39,33.3
2.5,480,1200,-0.0058,2.021,34,29.4
3.0,960,2880,-0.0087,2.4368,11,27.3
2.5,960,2400,-0.0091,2.6546,12,25.0
3.3,320,1056,-0.0093,2.2291,44,27.3
4.0,640,2560,-0.0096,2.2147,18,16.7
3.3,960,3168,-0.0097,2.5825,11,27.3
2.0,960,1920,-0.0116,2.5042,17,23.5
3.0,640,1920,-0.0118,2.5946,20,20.0
3.3,640,2112,-0.0131,2.7148,21,19.0
4.0,480,1920,-0.0135,2.8412,27,18.5
3.0,480,1440,-0.019,3.9325,32,12.5
