fast,slow,sharpe,max_dd,trades,win%
200,1680,0.017,0.4011,34,44.1
240,1560,0.0165,0.4156,32,37.5
200,1640,0.0164,0.4414,34,35.3
200,1600,0.0159,0.4244,33,36.4
200,1720,0.0158,0.4262,32,34.4
240,1640,0.0157,0.4184,31,35.5
240,1520,0.0156,0.448,32,37.5
240,1600,0.0156,0.4215,33,33.3
240,1680,0.0156,0.4339,33,33.3
200,1480,0.0155,0.4976,36,36.1
200,1520,0.0154,0.4773,36,33.3
520,1400,0.0152,0.5195,25,44.0
240,1720,0.0151,0.402,30,36.7
240,1480,0.015,0.4539,33,36.4
280,1600,0.015,0.4733,31,38.7
280,1520,0.0149,0.4815,30,40.0
520,1520,0.0149,0.5474,24,41.7
200,1560,0.0148,0.4689,35,34.3
520,1360,0.0148,0.587,26,42.3
120,1720,0.0146,0.4306,45,33.3
280,1560,0.0145,0.4766,30,40.0
480,1560,0.0145,0.5662,25,44.0
520,1480,0.0145,0.5531,24,45.8
280,1680,0.0144,0.421,31,35.5
440,1560,0.0144,0.5338,26,46.2
480,1440,0.0143,0.6052,28,35.7
480,1520,0.0143,0.5572,26,38.5
520,1440,0.0143,0.5217,25,40.0
80,1520,0.0141,0.4081,61,27.9
80,1640,0.0141,0.4196,55,27.3
280,1480,0.0141,0.4897,33,42.4
120,1520,0.014,0.4806,46,39.1
120,1680,0.014,0.4045,47,31.9
440,1760,0.014,0.4706,26,42.3
480,1400,0.014,0.5959,26,46.2
560,1640,0.014,0.5866,24,54.2
280,1640,0.0139,0.4622,32,40.6
320,1520,0.0139,0.4566,29,37.9
520,1680,0.0139,0.5709,24,58.3
160,1720,0.0138,0.4902,37,37.8
440,1520,0.0138,0.5301,26,46.2
480,1720,0.0138,0.5149,25,48.0
560,1440,0.0138,0.4702,24,41.7
560,1680,0.0138,0.614,23,52.2
80,1720,0.0137,0.4025,55,36.4
480,1680,0.0137,0.5335,25,44.0
720,1240,0.0136,0.5412,26,46.2
120,1560,0.0135,0.4662,49,34.7
480,1480,0.0135,0.5711,27,40.7
520,1560,0.0135,0.5833,24,45.8
160,1480,0.0134,0.4554,43,41.9
280,1720,0.0134,0.4273,30,40.0
480,1640,0.0134,0.5603,25,44.0
520,440,0.0134,0.5641,58,69.0
160,1680,0.0133,0.4026,38,31.6
320,1480,0.0133,0.4943,31,32.3
560,1360,0.0133,0.4831,26,46.2
120,1480,0.0132,0.5063,46,34.8
160,1520,0.0132,0.4763,39,33.3
440,1720,0.0132,0.5042,26,42.3
560,1480,0.0132,0.5261,24,45.8
80,1680,0.0131,0.3814,58,31.0
120,1600,0.0131,0.4495,47,29.8
320,1560,0.0131,0.5292,29,34.5
600,1440,0.0131,0.5662,23,43.5
640,1400,0.0131,0.5569,23,47.8
440,1640,0.013,0.5755,27,40.7
520,1600,0.013,0.596,24,45.8
560,1400,0.013,0.499,25,40.0
560,1520,0.013,0.5388,24,45.8
600,1400,0.013,0.5806,24,45.8
