dt_in,dt_out,price_in,price_out,size,side,pnl,pnl_comm,barlen,tradeid,atr_entry,symbol,period_label,fast,slow,atr_mult
2025-01-01 09:23:00,2025-01-01 10:01:00,1277.85,1273.3,-371.71812028015813,SELL,1691.3174472747025,1501.6557107641574,38,1,1.6986031494451428,ICICIBANK,Jan-2025,60,90,0.0
2025-01-01 10:46:00,2025-01-01 10:57:00,1281.5,1289.95,-371.77258909498704,SELL,-3141.4783778526576,-3332.6773026983183,11,2,1.1177487544354394,ICICIBANK,Jan-2025,60,90,0.0
2025-01-01 11:20:00,2025-01-01 12:09:00,1290.25,1290.05,-366.79754271471614,SELL,73.35950854295992,-115.9300313503965,49,3,1.3332118906386052,ICICIBANK,Jan-2025,60,90,0.0
2025-01-01 12:45:00,2025-01-01 13:28:00,1290.4,1286.65,-366.6695566939551,SELL,1375.0108376023315,1186.0256813867002,43,4,0.9888341717145632,ICICIBANK,Jan-2025,60,90,0.0
2025-01-01 14:20:00,2025-01-01 15:18:00,1287.75,1284.15,-368.29906453519476,SELL,1325.8766323266677,1136.4309595110542,58,5,1.1055733565529566,ICICIBANK,Jan-2025,60,90,0.0
2025-01-02 09:32:00,2025-01-02 09:49:00,1281.15,1283.6,-371.0390896981091,SELL,-909.0457697602998,-1099.3702708209448,17,6,1.4184417696993004,ICICIBANK,Jan-2025,60,90,0.0
2025-01-02 10:11:00,2025-01-02 10:27:00,1281.8,1285.25,-370.0361429313875,SELL,-1276.6246931133037,-1466.6049492557072,16,7,1.1713717647062272,ICICIBANK,Jan-2025,60,90,0.0
2025-01-02 10:45:00,2025-01-02 10:57:00,1282.25,1285.15,-368.81969452732267,SELL,-1069.5771141292694,-1258.958650875159,12,8,1.0195126414144131,ICICIBANK,Jan-2025,60,90,0.0
2025-01-02 11:40:00,2025-01-02 12:34:00,1291.25,1288.85,-365.32278225698195,SELL,876.7746774167899,688.2608153165421,54,9,1.0503380743300437,ICICIBANK,Jan-2025,60,90,0.0
2025-01-02 13:05:00,2025-01-02 13:29:00,1287.25,1288.9,-366.9659276472159,SELL,-605.4937806179396,-794.5656355196147,24,10,1.4253339040255537,ICICIBANK,Jan-2025,60,90,0.0
2025-01-02 14:01:00,2025-01-02 14:24:00,1287.65,1293.4,-366.2657189532365,SELL,-2106.02788398111,-2295.09791076196,23,11,1.096695809720389,ICICIBANK,Jan-2025,60,90,0.0
2025-01-02 14:54:00,2025-01-03 10:01:00,1292.85,1276.1,-363.10609118993784,SELL,6082.027027431459,5895.4667488389805,82,12,0.9543798980072998,ICICIBANK,Jan-2025,60,90,0.0
2025-01-03 10:38:00,2025-01-03 11:08:00,1270.0,1268.4,-374.0491365404002,SELL,598.4786184646063,408.58135282577587,30,13,1.020244630742575,ICICIBANK,Jan-2025,60,90,0.0
2025-01-03 11:49:00,2025-01-03 12:17:00,1269.5,1271.0,-374.50221007600845,SELL,-561.7533151140127,-752.0378880536326,28,14,1.1255118375817057,ICICIBANK,Jan-2025,60,90,0.0
2025-01-03 12:29:00,2025-01-03 13:01:00,1270.3,1270.35,-373.7039437123842,SELL,-18.685197185602217,-208.57538210417601,32,15,0.5781410925107751,ICICIBANK,Jan-2025,60,90,0.0
2025-01-03 13:34:00,2025-01-03 14:30:00,1270.05,1265.35,-373.6214897719323,SELL,1756.021001928099,1566.5650168945476,56,16,0.5379563627410731,ICICIBANK,Jan-2025,60,90,0.0
2025-01-03 15:06:00,2025-01-06 09:20:00,1264.6,1270.3,-376.40851640905623,SELL,-2145.5285435316378,-2336.3601331807013,29,17,1.0250559399209898,ICICIBANK,Jan-2025,60,90,0.0
2025-01-06 09:50:00,2025-01-06 10:05:00,1268.75,1274.05,-373.4279154477799,SELL,-1979.1679518732167,-2169.0784525533395,15,18,1.8399119098449304,ICICIBANK,Jan-2025,60,90,0.0
2025-01-06 10:30:00,2025-01-06 11:15:00,1271.2,1267.0,-371.0871957162091,SELL,1558.566222008095,1370.1875179747187,45,19,1.1608660382912592,ICICIBANK,Jan-2025,60,90,0.0
2025-01-06 11:53:00,2025-01-06 12:19:00,1263.95,1265.95,-374.24559621545234,SELL,-748.4911924309047,-937.8519792039992,26,20,1.6801505897854914,ICICIBANK,Jan-2025,60,90,0.0
2025-01-06 13:20:00,2025-01-06 14:03:00,1265.3,1261.2,-373.1421496532658,SELL,1529.8828135783558,1341.3340853585605,43,21,1.2253364868201595,ICICIBANK,Jan-2025,60,90,0.0
2025-01-06 14:43:00,2025-01-06 15:02:00,1258.95,1262.1,-376.03640282566255,SELL,-1184.5146689007856,-1374.115983569513,19,22,1.2954193461489976,ICICIBANK,Jan-2025,60,90,0.0
2025-01-07 09:50:00,2025-01-07 10:24:00,1274.75,1278.55,-370.35153493075256,SELL,-1407.3358327368428,-1596.4595475645808,34,23,1.7408871391966836,ICICIBANK,Jan-2025,60,90,0.0
2025-01-07 10:57:00,2025-01-07 11:32:00,1279.05,1281.05,-367.9207087938629,SELL,-735.8414175877258,-924.2241789043594,35,24,1.0241240256238968,ICICIBANK,Jan-2025,60,90,0.0
2025-01-07 12:10:00,2025-01-07 12:53:00,1284.25,1285.65,-365.74729967905876,SELL,-512.0462195507155,-700.0330166397581,43,25,0.7985726483839685,ICICIBANK,Jan-2025,60,90,0.0
2025-01-07 13:04:00,2025-01-07 13:33:00,1285.45,1287.2,-364.888512386342,SELL,-638.5548966760985,-826.300982954243,29,26,0.7679092898385198,ICICIBANK,Jan-2025,60,90,0.0
2025-01-07 13:49:00,2025-01-07 14:25:00,1285.65,1279.05,-364.2211739689782,SELL,2403.8597481953057,2217.036139219658,36,27,0.6411993568162955,ICICIBANK,Jan-2025,60,90,0.0
2025-01-08 09:16:00,2025-01-08 09:22:00,1279.65,1284.15,-367.5748342480174,SELL,-1654.0867541160783,-1842.5644261250918,6,28,1.79822470746723,ICICIBANK,Jan-2025,60,90,0.0
2025-01-08 09:51:00,2025-01-08 11:00:00,1280.05,1263.5,-366.09249673110946,SELL,6058.830820899845,5872.595906887763,69,29,1.3817509095648997,ICICIBANK,Jan-2025,60,90,0.0
2025-01-08 12:13:00,2025-01-08 12:24:00,1260.0,1261.0,-376.3457671049207,SELL,-376.3457671049207,-566.0993028792218,11,30,0.9797014094985024,ICICIBANK,Jan-2025,60,90,0.0
2025-01-08 12:47:00,2025-01-08 13:23:00,1256.95,1254.9,-376.83111676237303,SELL,772.5037893628476,583.1951412349342,36,31,1.0758214319519193,ICICIBANK,Jan-2025,60,90,0.0
2025-01-08 14:17:00,2025-01-08 15:29:00,1265.0,1265.5,-374.87107320050427,SELL,-187.43553660025214,-377.15778674702733,72,32,1.1877470560509789,ICICIBANK,Jan-2025,60,90,0.0
2025-01-09 09:18:00,2025-01-09 09:48:00,1254.7,1257.9,-377.66287375566134,SELL,-1208.5211960181334,-1398.3043433378284,30,33,1.4927746937296635,ICICIBANK,Jan-2025,60,90,0.0
2025-01-09 10:47:00,2025-01-09 11:23:00,1255.4,1251.45,-376.394152122875,SELL,1486.7569008853734,1298.0441648355275,36,34,1.2181919885422106,ICICIBANK,Jan-2025,60,90,0.0
2025-01-09 12:03:00,2025-01-09 12:19:00,1248.55,1255.9,-379.44684676757123,SELL,-2788.9343237417,-2978.995454819109,16,35,1.0679171720287266,ICICIBANK,Jan-2025,60,90,0.0
2025-01-09 12:49:00,2025-01-09 13:23:00,1253.5,1254.9,-375.6907178696234,SELL,-525.967005017507,-714.4435243583397,34,36,1.046160284661882,ICICIBANK,Jan-2025,60,90,0.0
2025-01-09 14:25:00,2025-01-09 15:01:00,1260.7,1261.75,-373.00673713130203,SELL,-391.6570739878502,-579.8352428032208,36,37,1.0486600854274473,ICICIBANK,Jan-2025,60,90,0.0
2025-01-10 09:18:00,2025-01-10 10:19:00,1258.3,1252.6,-373.28041804082454,SELL,2127.698382832717,1940.2444225009758,61,38,1.6524276926942725,ICICIBANK,Jan-2025,60,90,0.0
2025-01-10 11:41:00,2025-01-10 12:24:00,1257.1,1253.0,-375.1030007335498,SELL,1537.92230300752,1349.6130945792634,43,39,1.3901731720804007,ICICIBANK,Jan-2025,60,90,0.0
2025-01-10 12:51:00,2025-01-10 13:26:00,1251.05,1249.5,-377.9418206002922,SELL,585.8098219304358,396.79733803002364,35,40,0.9887772196624947,ICICIBANK,Jan-2025,60,90,0.0
2025-01-10 14:19:00,2025-01-10 14:52:00,1247.65,1245.8,-379.27389262463356,SELL,701.6567013556238,512.5166038426453,33,41,0.994735928301481,ICICIBANK,Jan-2025,60,90,0.0
2025-01-13 09:23:00,2025-01-13 10:05:00,1241.05,1241.15,-381.6832221963455,SELL,-38.16832221968662,-227.6511410468404,42,42,2.4492850112323046,ICICIBANK,Jan-2025,60,90,0.0
2025-01-13 10:42:00,2025-01-13 11:17:00,1239.2,1241.7,-382.07851381760827,SELL,-955.1962845440207,-1144.7760015300416,35,43,1.2590524127297877,ICICIBANK,Jan-2025,60,90,0.0
2025-01-13 11:37:00,2025-01-13 12:13:00,1234.35,1230.65,-382.69871359122345,SELL,1415.9852402874571,1227.3147744869839,36,44,1.2229767515820562,ICICIBANK,Jan-2025,60,90,0.0
2025-01-13 13:02:00,2025-01-13 13:26:00,1228.95,1228.2,-385.3290257187756,SELL,288.9967692890817,99.63452618010382,24,45,1.0522842530136742,ICICIBANK,Jan-2025,60,90,0.0
2025-01-13 13:39:00,2025-01-13 13:59:00,1225.7,1228.3,-386.42796684095646,SELL,-1004.7127137864517,-1194.3715599119932,20,46,0.8974908349792793,ICICIBANK,Jan-2025,60,90,0.0
