dt_in,dt_out,price_in,price_out,size,side,pnl,pnl_comm,barlen,tradeid,atr_entry,symbol,period_label,fast,slow,atr_mult
2025-01-01 09:44:00,2025-01-01 10:19:00,1886.4,1890.5,-251.8023748939779,SELL,-1032.3897370652865,-1222.5962150126995,35,1,2.4580146334150346,INFY,Jan-2025,60,90,0.0
2025-01-01 10:30:00,2025-01-01 11:08:00,1888.9,1884.75,-250.8542186435163,SELL,1041.0450073706154,851.7178029337942,38,2,1.8682892296803146,INFY,Jan-2025,60,90,0.0
2025-01-01 11:38:00,2025-01-01 12:20:00,1883.7,1880.85,-251.9762517962123,SELL,718.1323176192394,528.4168778793533,42,3,1.6787460318517273,INFY,Jan-2025,60,90,0.0
2025-01-01 13:00:00,2025-01-01 13:45:00,1885.0,1886.25,-252.06878596419648,SELL,-315.0859824552456,-505.2088642687408,45,4,1.8531069307058643,INFY,Jan-2025,60,90,0.0
2025-01-01 14:18:00,2025-01-01 15:22:00,1885.4,1884.45,-251.76074738594207,SELL,239.17271001665642,49.352659310077684,64,5,1.4128884316148915,INFY,Jan-2025,60,90,0.0
2025-01-02 10:05:00,2025-01-02 10:55:00,1914.55,1924.05,-247.95205042845566,SELL,-2355.5444790703286,-2545.902227225263,50,6,2.244814426396694,INFY,Jan-2025,60,90,0.0
2025-01-02 11:33:00,2025-01-02 12:14:00,1937.65,1938.75,-243.7478342486702,SELL,-268.12261767351504,-457.0954386098241,41,7,1.9884532469990848,INFY,Jan-2025,60,90,0.0
2025-01-02 12:59:00,2025-01-02 13:22:00,1948.8499999999997,1957.75,-242.12420163956006,SELL,-2154.9053945921614,-2344.0818758171827,23,8,2.1272737809081934,INFY,Jan-2025,60,90,0.0
2025-01-02 13:38:00,2025-01-02 14:24:00,1956.75,1957.5,-240.00862275877364,SELL,-180.00646706908023,-367.89721739578613,46,9,1.7139592784511009,INFY,Jan-2025,60,90,0.0
2025-01-02 15:15:00,2025-01-03 09:57:00,1956.55,1933.4,-239.85452466162596,SELL,5552.632245916609,5366.02782427511,57,10,1.4260629569378265,INFY,Jan-2025,60,90,0.0
2025-01-03 10:44:00,2025-01-03 11:23:00,1932.25,1926.0,-245.50917151495182,SELL,1534.4323219684488,1344.9851697689362,39,11,1.7918341978434225,INFY,Jan-2025,60,90,0.0
