symbol,total_bars,opening_bars,history_bars,today_time,avg_range,avg_volume,status
ABB,500,20,19,2025-07-24 09:15:00,55.578947368421055,24325.157894736843,included
ADANIENSOL,500,20,19,2025-07-24 09:15:00,8.06578947368421,105663.21052631579,included
ADANIENT,500,20,19,2025-07-24 09:15:00,19.831578947368502,57718.26315789474,included
ADANIGREEN,500,20,19,2025-07-24 09:15:00,12.17368421052632,267793.0,included
ADANIPORTS,500,20,19,2025-07-24 09:15:00,10.03684210526316,90512.36842105263,included
AMBUJACEM,500,20,19,2025-07-24 09:15:00,4.9184210526315875,147805.8947368421,included
APOLLOHOSP,500,20,19,2025-07-24 09:15:00,59.60526315789474,53979.21052631579,included
ASIANPAINT,500,20,19,2025-07-24 09:15:00,22.252631578947376,123622.15789473684,included
AXISBANK,500,20,19,2025-07-24 09:15:00,10.684210526315825,980153.5789473684,included
BAJAJ-AUTO,500,20,19,2025-07-24 09:15:00,65.86842105263158,21795.684210526317,included
BAJAJFINSV,500,20,19,2025-07-24 09:15:00,20.32105263157898,83876.0,included
BAJFINANCE,500,20,19,2025-07-24 09:15:00,11.026315789473685,684741.3157894737,included
BANKBARODA,500,20,19,2025-07-24 09:15:00,2.656315789473678,853119.7368421053,included
BEL,500,20,19,2025-07-24 09:15:00,3.7815789473684074,1844790.2105263157,included
BHARTIARTL,500,20,19,2025-07-24 09:15:00,14.731578947368426,453110.7368421053,included
BOSCHLTD,500,20,19,2025-07-24 09:15:00,390.7894736842105,5421.473684210527,included
BPCL,500,20,19,2025-07-24 09:15:00,4.002631578947366,560380.947368421,included
BRITANNIA,500,20,19,2025-07-24 09:15:00,50.28947368421053,14664.21052631579,included
CANBK,500,20,19,2025-07-24 09:15:00,1.2699999999999982,2356445.1052631577,included
CGPOWER,500,20,19,2025-07-24 09:15:00,7.642105263157897,305963.7368421053,included
CHOLAFIN,500,20,19,2025-07-24 09:15:00,21.36842105263163,161227.47368421053,included
CIPLA,500,20,19,2025-07-24 09:15:00,11.33684210526315,87224.26315789473,included
COALINDIA,500,20,19,2025-07-24 09:15:00,2.3342105263157786,343627.7894736842,included
DABUR,500,20,19,2025-07-24 09:15:00,4.713157894736834,194131.52631578947,included
DIVISLAB,500,20,19,2025-07-24 09:15:00,59.578947368421055,33057.36842105263,included
DLF,500,20,19,2025-07-24 09:15:00,7.502631578947366,286440.5789473684,included
DMART,500,20,19,2025-07-24 09:15:00,51.136842105263156,68670.42105263157,included
DRREDDY,500,20,19,2025-07-24 09:15:00,10.705263157894729,88440.52631578948,included
