symbol,avg_range,avg_volume,today_range,today_volume,range_dev,vol_dev,score,direction
TATACONSUM,10.34,50098,39.0,2128932,2.7729,41.4956,14.3897,SELL
DRREDDY,10.71,88441,31.8,734157,1.9705,7.3011,3.5697,BUY
MOTHERSON,1.07,1197974,2.2,4664854,1.0561,2.894,1.6074,BUY
IRFC,1.47,1955108,3.15,6422359,1.1429,2.2849,1.4855,BUY
TATAMOTORS,6.56,944050,11.7,2801765,0.7827,1.9678,1.1382,BUY
INFY,16.17,695254,25.9,2306126,0.6019,2.317,1.1164,SELL
ETERNAL,3.71,3690205,6.1,7257626,0.6451,0.9667,0.7416,BUY
ULTRACEMCO,89.11,18069,169.0,21080,0.8966,0.1666,0.6776,SELL
HDFCBANK,14.12,728104,18.6,1354426,0.3172,0.8602,0.4801,SELL
RECLTD,3.53,728162,4.95,942327,0.4006,0.2941,0.3687,BUY
HCLTECH,17.27,382629,12.1,1111326,-0.2995,1.9044,0.3617,SELL
GAIL,1.65,903843,2.31,1097944,0.3969,0.2148,0.3422,BUY
KOTAKBANK,19.37,275855,31.8,170987,0.6418,-0.3802,0.3352,SELL
TRENT,52.29,125158,71.5,128722,0.3674,0.0285,0.2657,SELL
EICHERMOT,43.82,27227,61.0,25499,0.3922,-0.0635,0.2555,BUY
ADANIENSOL,8.07,105663,8.9,127903,0.1034,0.2105,0.1355,SELL
HEROMOTOCO,46.83,51733,45.0,78212,-0.0391,0.5118,0.1262,SELL
INDIGO,60.92,87100,87.5,33740,0.4363,-0.6126,0.1216,BUY
NIFTY BANK,214.87,0,246.1,0,0.1454,0,0.1017,SELL
BAJFINANCE,11.03,684741,12.0,772204,0.0883,0.1277,0.1001,SELL
RELIANCE,11.06,785418,8.5,1334041,-0.2317,0.6985,0.0474,SELL
APOLLOHOSP,59.61,53979,72.5,31931,0.2163,-0.4085,0.0289,BUY
BHARTIARTL,14.73,453111,13.7,562767,-0.07,0.242,0.0236,BUY
ICICIGI,17.25,52699,20.4,31586,0.1828,-0.4006,0.0078,SELL
VBL,4.39,615726,4.85,440640,0.1043,-0.2844,-0.0123,SELL
LTIM,56.42,33180,64.0,20240,0.1343,-0.39,-0.023,SELL
LODHA,18.84,783572,23.0,306428,0.2207,-0.6089,-0.0282,SELL
PIDILITIND,20.33,15845,20.9,12744,0.028,-0.1957,-0.0391,BUY
SUNPHARMA,14.54,158197,15.9,99177,0.0938,-0.3731,-0.0463,BUY
SHRIRAMFIN,8.06,557853,7.75,499328,-0.0382,-0.1049,-0.0582,SELL
GRASIM,19.28,31004,22.4,9407,0.1616,-0.6966,-0.0959,BUY
UNITDSPR,11.55,96120,11.9,57932,0.0305,-0.3973,-0.0978,SELL
CANBK,1.27,2356445,1.03,2566120,-0.189,0.089,-0.1056,BUY
