symbol,open,close,move
MARUTI,12540,12676,136
BAJAJ-AUTO,8313.5,8365,51.5
HAL,4771,4728,-43
LODHA,1400,1357.1,-42.9
ABB,5771.5,5733,-38.5
BRITANNIA,5737,5702.5,-34.5
M&M,3260,3283.7,23.7
TRENT,5383,5359.5,-23.5
DMART,4039.9,4018,-21.9
HAVELLS,1583,1561.4,-21.6
TITAN,3472.4,3452.9,-19.5
GRASIM,2735.6,2716.9,-18.7
NESTLEIND,2460,2442,-18
LTIM,5200,5182,-18
PIDILITIND,2920,2905,-15
APOLLOHOSP,7251,7265,14
TORNTPHARM,3504,3517.9,13.9
TVSMOTOR,2809.4,2822.3,12.9
ADANIGREEN,1018.4,1031.3,12.9
TATAMOTORS,676.7,689.55,12.85
INDIGO,5925,5912.5,-12.5
DLF,846.1,834.4,-11.7
BAJFINANCE,954,965.5,11.5
SIEMENS,3145,3133.6,-11.4
EICHERMOT,5432,5443,11
TECHM,1551,1540,-11
ADANIENT,2600.7,2611.2,10.5
TATACONSUM,1085,1074.5,-10.5
HINDUNILVR,2481,2470.8,-10.2
KOTAKBANK,2171,2160.9,-10.1
BOSCHLTD,37800,37810,10
ICICIBANK,1482.9,1472.9,-10
GODREJCP,1246,1236.5,-9.5
ULTRACEMCO,12460,12469,9
NAUKRI,1460,1469,9
UNITDSPR,1352,1343.4,-8.6
BHARTIARTL,1920,1912.5,-7.5
RELIANCE,1426,1419,-7
ASIANPAINT,2363,2356.4,-6.6
CHOLAFIN,1550,1556.2,6.2
HDFCBANK,2011,2005.3,-5.7
AMBUJACEM,623,617.65,-5.35
SBILIFE,1809,1803.8,-5.2
TCS,3159.6,3164,4.4
HCLTECH,1524.1,1519.7,-4.4
HEROMOTOCO,4360,4355.8,-4.2
JINDALSTEL,969.45,965.3,-4.15
SBIN,812.5,816.65,4.15
INDHOTEL,756.6,752.5,-4.1
ETERNAL,298,301.1,3.1
DIVISLAB,6641,6644,3
JIOFIN,311.6,314.5,2.9
INDUSINDBK,849,851.8,2.8
DRREDDY,1240.2,1237.6,-2.6
DABUR,517.75,515.15,-2.6
ICICIPRULI,628.4,630.55,2.15
AXISBANK,1099.5,1101.4,1.9
IRFC,133.71,135.61,1.9
BEL,403.5,401.6,-1.9
VBL,487.8,485.95,-1.85
CGPOWER,684.15,685.9,1.75
BAJAJFINSV,2047.7,2046,-1.7
BPCL,341.85,340.25,-1.6
TATAPOWER,400.1,401.6,1.5
SHRIRAMFIN,642,643.5,1.5
BANKBARODA,239.48,240.85,1.37
ITC,417.1,415.75,-1.35
WIPRO,260.25,258.95,-1.3
INFY,1576.3,1575,-1.3
PFC,416.75,415.5,-1.25
COALINDIA,389.4,390.65,1.25
POWERGRID,298.85,297.7,-1.15
HDFCLIFE,765,763.85,-1.15
VEDL,450.85,452,1.15
GAIL,184,185.1,1.1
RECLTD,394.85,394.05,-0.8
ADANIENSOL,871.7,871,-0.7
LICI,922.5,921.8,-0.7
SUNPHARMA,1678.5,1677.8,-0.7
ADANIPORTS,1430,1430.7,0.7
NTPC,341.8,342.5,0.7
HINDALCO,692,692.6,0.6
ONGC,246,246.54,0.54
JSWSTEEL,1034,1033.5,-0.5
CANBK,108.05,107.73,-0.32
CIPLA,1465.3,1465.6,0.3
TATASTEEL,163.25,163.52,0.27
ICICIGI,1962.3,1962.5,0.2
PNB,109.6,109.8,0.2
MOTHERSON,97.7,97.87,0.17
IOC,152.01,151.95,-0.06
JSWENERGY,532.95,533,0.05
LT,3476.2,3476.2,0
