symbol,stage,period,mult,sharpe,expectancy,trades,win_rate
ICICIBANK,1,20,4.0,-0.010605,-0.721865,41,36.59
ICICIBANK,1,30,4.0,-0.010307,-0.677634,42,33.33
ICICIBANK,1,40,4.0,-0.009540,-0.623097,42,33.33
ICICIBANK,1,60,4.0,-0.012422,-0.775398,43,32.56
ICICIBANK,2,40,2.0,-0.043895,-0.825128,134,22.39
ICICIBANK,2,40,3.0,-0.022984,-0.852311,72,22.22
ICICIBANK,2,40,4.0,-0.009540,-0.623097,42,33.33
ICICIBANK,2,40,5.0,-0.017416,-1.403559,33,24.24
ICICIBANK,2,40,6.0,-0.013761,-1.515263,24,25.00
ICICIBANK,2,30,2.0,-0.039845,-0.773580,130,23.85
ICICIBANK,2,30,3.0,-0.025993,-0.974515,73,21.92
ICICIBANK,2,30,4.0,-0.010307,-0.677634,42,33.33
ICICIBANK,2,30,5.0,-0.016760,-1.392150,32,25.00
ICICIBANK,2,30,6.0,-0.013308,-1.477669,24,29.17
ICICIBANK,2,20,2.0,-0.044323,-0.867286,130,23.08
ICICIBANK,2,20,3.0,-0.032620,-1.146188,78,23.08
ICICIBANK,2,20,4.0,-0.010605,-0.721865,41,36.59
ICICIBANK,2,20,5.0,-0.012648,-1.135854,32,31.25
ICICIBANK,2,20,6.0,-0.016499,-1.757274,25,28.00
INFY,1,20,4.0,-0.018628,-1.972837,53,35.85
INFY,1,30,4.0,-0.019758,-1.998071,56,33.93
INFY,1,40,4.0,-0.019247,-1.933548,56,33.93
INFY,1,60,4.0,-0.017602,-1.814979,54,33.33
INFY,2,60,2.0,-0.022818,-0.929922,137,26.28
INFY,2,60,3.0,-0.024445,-1.638811,84,28.57
INFY,2,60,4.0,-0.017602,-1.814979,54,33.33
INFY,2,60,5.0,-0.016544,-2.391841,38,26.32
INFY,2,60,6.0,-0.015977,-3.071316,29,27.59
INFY,2,20,2.0,-0.025338,-1.018847,139,25.18
INFY,2,20,3.0,-0.028645,-1.858846,87,28.74
INFY,2,20,4.0,-0.018628,-1.972837,53,35.85
INFY,2,20,5.0,-0.011519,-1.915251,34,32.35
INFY,2,20,6.0,-0.016983,-3.416031,28,21.43
INFY,2,40,2.0,-0.025230,-1.019041,139,25.18
INFY,2,40,3.0,-0.023904,-1.594368,85,28.24
INFY,2,40,4.0,-0.019247,-1.933548,56,33.93
INFY,2,40,5.0,-0.011756,-1.827694,36,27.78
INFY,2,40,6.0,-0.014042,-2.881015,27,29.63
RELIANCE,1,20,4.0,-0.008826,-0.581117,54,35.19
RELIANCE,1,30,4.0,-0.007264,-0.486213,53,37.74
RELIANCE,1,40,4.0,-0.007748,-0.522400,53,37.74
RELIANCE,1,60,4.0,-0.005672,-0.386514,52,38.46
RELIANCE,2,60,2.0,-0.033057,-0.780980,143,25.87
RELIANCE,2,60,3.0,-0.021168,-0.867252,82,32.93
RELIANCE,2,60,4.0,-0.005672,-0.386514,52,38.46
RELIANCE,2,60,5.0,-0.000663,-0.067171,35,42.86
RELIANCE,2,60,6.0,-0.002974,-0.388443,27,40.74
RELIANCE,2,30,2.0,-0.031903,-0.761398,140,26.43
RELIANCE,2,30,3.0,-0.018242,-0.756769,82,30.49
RELIANCE,2,30,4.0,-0.007264,-0.486213,53,37.74
RELIANCE,2,30,5.0,-0.005192,-0.482203,38,39.47
RELIANCE,2,30,6.0,0.002127,0.313512,24,45.83
RELIANCE,2,40,2.0,-0.033535,-0.785783,141,25.53
RELIANCE,2,40,3.0,-0.020510,-0.823521,82,31.71
RELIANCE,2,40,4.0,-0.007748,-0.522400,53,37.74
RELIANCE,2,40,5.0,-0.007429,-0.692975,38,39.47
RELIANCE,2,40,6.0,0.003317,0.492662,24,45.83
