symbol,phase,start,end,period,mult,sharpe,max_dd,trades,win_rate,won,lost
AXISBANK,train,2025-05-01,2025-05-31,30,1.8,0.0061,0.9116,17,58.82,10,7
AXISBANK,test,2025-06-01,2025-06-30,30,1.8,0.0062,0.9116,26,53.85,14,12
HDFCBANK,train,2025-05-01,2025-05-31,30,1.8,0.007,1.009,6,33.33,2,4
HDFCBANK,test,2025-06-01,2025-06-30,30,1.8,0.0074,1.009,13,30.77,4,9
ICICIBANK,train,2025-05-01,2025-05-31,30,1.8,0.0062,0.8688,11,54.55,6,5
ICICIBANK,test,2025-06-01,2025-06-30,30,1.8,0.0053,0.8688,17,52.94,9,8
INFY,train,2025-05-01,2025-05-31,30,1.8,0.0018,2.1009,11,45.45,5,6
INFY,test,2025-06-01,2025-06-30,30,1.8,0.0028,2.1009,17,47.06,8,9
KOTAKBANK,train,2025-05-01,2025-05-31,30,1.8,-0.0038,2.5449,8,37.5,3,5
KOTAKBANK,test,2025-06-01,2025-06-30,30,1.8,0.0009,2.7037,18,55.56,10,8
MARUTI,train,2025-05-01,2025-05-31,30,1.8,0.0,0.0,0,0.0,0,0
MARUTI,test,2025-06-01,2025-06-30,30,1.8,0.0,0.0,0,0.0,0,0
NIFTY 50,train,2025-05-01,2025-05-31,30,1.8,0.0,0.0,0,0.0,0,0
NIFTY 50,test,2025-06-01,2025-06-30,30,1.8,0.0,0.0,0,0.0,0,0
NIFTY BANK,train,2025-05-01,2025-05-31,30,1.8,0.0,0.0,0,0.0,0,0
NIFTY BANK,test,2025-06-01,2025-06-30,30,1.8,0.0,0.0,0,0.0,0,0
RELIANCE,train,2025-05-01,2025-05-31,30,1.8,0.0082,1.5192,13,76.92,10,3
RELIANCE,test,2025-06-01,2025-06-30,30,1.8,0.0101,1.5192,19,68.42,13,6
SBIN,train,2025-05-01,2025-05-31,30,1.8,0.0025,0.7314,11,54.55,6,5
SBIN,test,2025-06-01,2025-06-30,30,1.8,0.0013,0.7314,17,52.94,9,8
SUNPHARMA,train,2025-05-01,2025-05-31,30,1.8,-0.001,2.1321,23,47.83,11,12
SUNPHARMA,test,2025-06-01,2025-06-30,30,1.8,-0.0005,2.1696,34,47.06,16,18
TATAMOTORS,train,2025-05-01,2025-05-31,30,1.8,0.0032,1.3144,14,42.86,6,8
TATAMOTORS,test,2025-06-01,2025-06-30,30,1.8,0.0006,1.3144,27,40.74,11,16
TCS,train,2025-05-01,2025-05-31,30,1.8,-0.0032,5.1613,22,36.36,8,14
TCS,test,2025-06-01,2025-06-30,30,1.8,-0.0025,5.1613,28,39.29,11,17
TECHM,train,2025-05-01,2025-05-31,30,1.8,0.0079,2.0689,19,63.16,12,7
TECHM,test,2025-06-01,2025-06-30,30,1.8,0.0086,2.0689,23,60.87,14,9
AXISBANK,train,2025-05-01,2025-05-31,30,2.0,0.006,0.9116,13,61.54,8,5
AXISBANK,test,2025-06-01,2025-06-30,30,2.0,0.006,0.9116,18,55.56,10,8
HDFCBANK,train,2025-05-01,2025-05-31,30,2.0,0.007,1.009,3,33.33,1,2
HDFCBANK,test,2025-06-01,2025-06-30,30,2.0,0.0076,1.009,6,33.33,2,4
ICICIBANK,train,2025-05-01,2025-05-31,30,2.0,0.0061,0.8688,9,55.56,5,4
ICICIBANK,test,2025-06-01,2025-06-30,30,2.0,0.0052,0.8688,15,53.33,8,7
INFY,train,2025-05-01,2025-05-31,30,2.0,0.0017,2.1314,8,50.0,4,4
INFY,test,2025-06-01,2025-06-30,30,2.0,0.0027,2.1314,14,50.0,7,7
KOTAKBANK,train,2025-05-01,2025-05-31,30,2.0,-0.0042,2.6238,8,37.5,3,5
KOTAKBANK,test,2025-06-01,2025-06-30,30,2.0,0.0006,2.7827,16,50.0,8,8
MARUTI,train,2025-05-01,2025-05-31,30,2.0,0.0,0.0,0,0.0,0,0
MARUTI,test,2025-06-01,2025-06-30,30,2.0,0.0,0.0,0,0.0,0,0
NIFTY 50,train,2025-05-01,2025-05-31,30,2.0,0.0,0.0,0,0.0,0,0
NIFTY 50,test,2025-06-01,2025-06-30,30,2.0,0.0,0.0,0,0.0,0,0
