symbol,entry_dt,entry_price,exit_dt,exit_price,max_price,min_price,pnl
ICICIBANK,2025-07-02 09:16:00,1445.0,2025-07-02 09:26:00,1439.2,1451.0,1437.9,-5.7999999999999545
ICICIBANK,2025-07-03 09:16:00,1434.7,2025-07-03 10:31:00,1435.4,1446.1,1432.2,0.7000000000000455
ICICIBANK,2025-07-04 13:57:00,1431.2,2025-07-07 09:19:00,1434.2,1444.4,1430.2,3.0
ICICIBANK,2025-07-07 15:20:00,1436.2,2025-07-09 09:16:00,1434.6,1445.0,1430.0,-1.6000000000001364
ICICIBANK,2025-07-09 12:26:00,1435.2,2025-07-10 10:06:00,1430.4,1439.0,1430.0,-4.7999999999999545
ICICIBANK,2025-07-11 12:44:00,1422.1,2025-07-14 09:28:00,1418.2,1424.9,1418.0,-3.8999999999998636
ICICIBANK,2025-07-14 13:30:00,1423.3,2025-07-16 09:16:00,1424.0,1433.8,1419.0,0.7000000000000455
INFY,2025-07-01 09:31:00,1612.7,2025-07-02 10:53:00,1619.9,1649.0,1601.7,7.2000000000000455
INFY,2025-07-03 09:16:00,1622.4,2025-07-03 14:33:00,1617.1,1632.4,1616.6,-5.300000000000182
INFY,2025-07-04 12:44:00,1631.2,2025-07-07 11:01:00,1632.0,1644.0,1629.6,0.7999999999999545
INFY,2025-07-08 12:20:00,1635.0,2025-07-09 09:17:00,1629.1,1646.2,1626.1,-5.900000000000091
INFY,2025-07-11 10:12:00,1602.2,2025-07-14 09:16:00,1580.2,1607.1,1574.4,-22.0
RELIANCE,2025-06-30 09:23:00,1516.5,2025-06-30 10:46:00,1513.3,1524.8,1513.0,-3.2000000000000455
RELIANCE,2025-06-30 15:07:00,1502.0,2025-07-01 10:06:00,1510.9,1521.0,1499.0,8.900000000000091
RELIANCE,2025-07-01 10:39:00,1520.9,2025-07-01 14:38:00,1524.4,1531.4,1517.4,3.5
RELIANCE,2025-07-01 15:23:00,1529.7,2025-07-02 09:31:00,1522.3,1530.0,1521.7,-7.400000000000091
RELIANCE,2025-07-02 15:00:00,1517.1,2025-07-03 14:26:00,1523.2,1531.9,1513.0,6.100000000000136
RELIANCE,2025-07-03 15:18:00,1522.1,2025-07-04 11:47:00,1519.1,1528.6,1514.5,-3.0
RELIANCE,2025-07-04 14:37:00,1526.5,2025-07-07 14:38:00,1539.0,1544.8,1522.8,12.5
RELIANCE,2025-07-08 10:54:00,1539.5,2025-07-08 12:41:00,1534.4,1543.2,1531.8,-5.099999999999909
RELIANCE,2025-07-08 15:08:00,1536.5,2025-07-09 09:20:00,1535.0,1544.9,1534.0,-1.5
RELIANCE,2025-07-09 09:57:00,1543.4,2025-07-09 13:05:00,1544.1,1551.0,1542.0,0.6999999999998181
RELIANCE,2025-07-10 12:31:00,1514.1,2025-07-11 09:16:00,1513.4,1521.2,1510.6,-0.6999999999998181
RELIANCE,2025-07-11 15:02:00,1496.7,2025-07-14 09:16:00,1490.2,1498.1,1487.8,-6.5
RELIANCE,2025-07-14 09:55:00,1496.7,2025-07-14 11:20:00,1490.7,1500.0,1490.3,-6.0
RELIANCE,2025-07-14 15:00:00,1486.7,2025-07-15 10:26:00,1485.2,1494.2,1480.9,-1.5
RELIANCE,2025-07-15 11:02:00,1492.9,2025-07-15 13:26:00,1487.8,1496.5,1487.3,-5.100000000000136
RELIANCE,2025-07-15 15:22:00,1488.8,2025-07-16 09:16:00,1474.8,1489.7,1471.5,-14.0
RELIANCE,2025-07-16 12:12:00,1483.3,2025-07-16 14:56:00,1484.1,1491.0,1479.4,0.7999999999999545
