symbol,period_label,warmup,start,end,st_period,st_mult,sharpe,drawdown,trades,win_rate
AXISBANK,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,120,1.6,-0.004419249685622019,0.004519946664636343,132,40.15151515151515
HDFCBANK,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,120,1.6,-0.015722998067379246,0.010979999999958091,165,34.54545454545455
ICICIBANK,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,120,1.6,-0.026269421811640284,0.012379967812088345,152,31.57894736842105
INFY,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,120,1.6,-0.0014126834354749494,0.01261911918549948,142,36.61971830985916
KOTAKBANK,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,120,1.6,-0.018663037315043037,0.024979130726243727,154,36.36363636363637
MARUTI,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,120,1.6,-0.007022343688369845,0.08056616221187102,154,29.87012987012987
NIFTY 50,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,120,1.6,-0.004674154223216691,0.05833572982457913,155,40.64516129032258
NIFTY BANK,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,120,1.6,-0.019678439841022837,0.2538911160302448,154,31.818181818181817
RELIANCE,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,120,1.6,-0.027553549487647138,0.022319192045359718,167,32.33532934131736
SBIN,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,120,1.6,-0.0032044300531107422,0.006579962494334854,154,33.116883116883116
SUNPHARMA,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,120,1.6,0.005173789858607593,0.005139826273920839,151,39.0728476821192
TATAMOTORS,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,120,1.6,-0.019139645997846753,0.007469849108973492,159,32.70440251572327
TCS,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,120,1.6,-0.0221815760502073,0.051793577596459535,151,30.4635761589404
TECHM,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,120,1.6,-0.020357849122713555,0.021919377489697918,150,29.333333333333332
